id,name,order,tier,reqPoints,reqPointsPerExtraSkill,description,author,combat officer,admiral,admin,tags,icon,


systems_expertise,Dominio de Sistemas,90,5,4,2,"No, no creo que sea una contradicción. Es un, eh... viaje espiritual. Te ponen a prueba. Y como se suele decir, el diablo está en los detalles.","«Los soldados rasos de Ludd» holodocumental, entrevista con un Caminante",TRUE,,,,graphics/icons/skills/systems_expertise.png,
missile_specialization,Especialización en Misiles,100,5,4,2,"A mis compañeros no les hace gracia su extravagancia. Tienes todas esas pequeñas naves espaciales con las que puedes saltarte todas las reglas, porque no hay necesidad de sobrevivir al aterrizaje.","Entrevista a K. Astraia, antiguo diseñador en la Forja Estelar de Culann",TRUE,,,missile_weapons,graphics/icons/skills/missile_specialization2.png,
,,,,,,,,,,,,,
# LEADERSHIP,,,,,,,,,,,,,
tactical_drills,Ejercicios Tácticos,500,1,0,,"Perfecto.
Ahora hazlo de nuevo.","Cameron Cuarto-Fobos, campo de tiro de Coatl",,TRUE,,,graphics/icons/skills/weapon_drills.png,
coordinated_maneuvers,Maniobras Coordinadas,520,2,0,,"Señor, se acercan enemigos a toda velocidad. Son grandes. Cuento dos. No, tres. Más... ¡Son demasiados! Lecturas altas de energía. Contacto en seis.","Archivo de audio CIC del HSS Ceraon, recuperado 189.09.13.",,TRUE,,,graphics/icons/skills/coordinated_maneuvers2.png,
wolfpack_tactics,Tácticas de Manada,530,2,0,,"Una flota que actúa al unísono convierte a esas bonitas formaciones, tan apreciadas por los altos mandos, en una bestia torpe y lenta que suplica que le corten el cuello. Soltad a los sabuesos para que volvamos a ser lobos.","Señora de la guerra Kanta, citada en «Mi año con la reina pirata»",,TRUE,,,graphics/icons/skills/wolfpack.png,
crew_training,Tripulación Entrenada,540,2,0,,"Sé cómo eres. Firmaste el contrato con dedicación, preparado para jugar a los astronautas. Has visto demasiadas holocintas de propaganda bélica de la Hegemonía, ¿verdad? Pues entérate: el coraje no es sinónimo de competencia. Hacer de héroes nos matará a todos. El trabajo cuidadoso y atento es lo que nos permite salir adelante.","Chaiya Mimas, división de flota Tri-Tachyon, introducción a la formación",,TRUE,,,graphics/icons/skills/crew_training.png,
fighter_uplink,Enlace de Cazas,545,3,0,,"Los pilotos de cazas se envuelven en leyendas, pero no son más que la punta de una lanza que solo yo dirijo.","Comodoro Jensulte, de la Armada de la Hegemonía, ~c82",,TRUE,,,graphics/icons/skills/fighter_uplink2.png,
carrier_group,Grupo de Portaviones,550,3,0,,"Las estadísticas nos dicen que acabarán vaporizados en medio de una lluvia de fuego antiaéreo antes de cumplir media docena de misiones, pero aun así queremos ser como ellos. Una vez se sientan en la cabina, son los únicos de todos nosotros que tienen el control de su propio destino.","Proyecto de entrevistas portuarias de Nachiketa, Ep. 3",,TRUE,,,graphics/icons/skills/carrier_command.png,
officer_training,Instrucción de Oficiales,560,4,3,,"Puede que sean una «chusma variopinta de comerciantes, contrabandistas y piratas», pero si les das algo por lo que luchar, creo que podrían sorprenderte.","Navarco Nurul Park, comentario sobre la integración de la Armada Cibolana",,TRUE,,,graphics/icons/skills/officer_training.png,
officer_management,Gestión de Oficiales,570,4,3,,"El panorama era desolador, así que prometí a los capitanes mercenarios el doble de bonificación de combate. Con todas las bajas que hubo, solo tuve que pagar a la mitad de ellos. Salió bien.","Carson Kang, director general de la división de flotas Valhalla, Tri-Tachyon",,TRUE,,,graphics/icons/skills/officer_management.png,
best_of_the_best,Lo Mejor de lo Mejor,580,5,4,2,"Lo que nosotros tenemos, Artemisia, es algo que no se puede comprar.",Orcus Rao en las negociaciones al fin de la Segunda Guerra IA (apócrifo),,TRUE,,,graphics/icons/skills/best_of_the_best.png,
support_doctrine,Doctrina de Apoyo,590,5,4,2,"No todos los cadetes tienen talento, habilidad o siquiera dos neuronas que puedan juntarse, pero contra viento y radiación se graduarán con disciplina.","Comentario anónimo del personal de la Academia de Coatl, archivo COMSEC",,TRUE,,,graphics/icons/skills/space_ops.png,
force_concentration,Concentración de Fuerzas,590,5,4,2,"Cuando consiga la victoria en el momento y el lugar que yo elija, la historia me absolverá del sacrificio de uno o dos planetas.","Almirante de la Flota Andrada, discurso ante la Asamblea Estratégica de la Hegemonía",,TRUE,,"npc_only, deprecated",graphics/icons/skills/space_ops.png,
,,,,,,,,,,,,,
# TECHNOLOGY,,,,,,,,,,,,,
navigation,Navegación,1000,1,0,0,"Si pasas suficiente tiempo aquí, se convierte en algo natural. Así es como me muevo cuando sueño. No todos lo conseguimos. Unos cuantos sí.","Proyecto de entrevistas portuarias de Nachiketa, Ep. 2",,,,,graphics/icons/skills/navigation.png,
sensors,Sensores,1010,1,0,0,"¡Te veo, pececito!","Búfer de com. del ISS Green Flash, recuperado en órbita de Beta Zuma B",,,,,graphics/icons/skills/sensors.png,
gunnery_implants,Implantes de Artillero,1020,2,1,0,"Con el tiempo, la realidad aumentada proporcionada por implantes puede llegar a ser difícil de distinguir de los estímulos sensoriales normales. El oficial de apoyo psicológico deberá examinar periódicamente a los artilleros para detectar signos de trastorno disociativo, basándose en los siguientes criterios...",Un Nuevo Marco de Liderazgo: Manual para los oficiales de la Hegemonía,TRUE,,,,graphics/icons/skills/gunnery_implants.png,
energy_weapon_mastery,Maestría en Armas de Energía,1030,2,1,0,"El ojo de un ángel fue hallado en los rincones más recónditos, donde lo había escondido el Dios misericordioso en los primeros instantes de la creación. Así, sus secretos quedaron al descubierto para que los ignorantes y crueles desataran una ira terrible y ardiente. Nos lamentamos.",Textos Sagrados de Ludd,TRUE,,,energy_weapons,graphics/icons/skills/energy_weapon_mastery.png,
electronic_warfare,Guerra Electrónica,1040,4,2,0,"error 401 // conexión rechazada [¿volver a intentarlo?]
error 401 // conexión rechazada [¿volver a intentarlo?]
error 401 // conexión rechazada [¿volver a intentarlo?]","Celadon Immeasurable, alpha",,TRUE,,,graphics/icons/skills/EW.png,
flux_regulation,Calibración de Flux,1060,4,2,0,"ADVERTENCIA: Al modificar estos ajustes, el usuario exime a la Corporación Tri-Tachyon de toda responsabilidad por daño material, lesión, fallecimiento o anomalía en el espacio-tiempo derivada por ello. ¿Desea continuar?","Corporación Tri-Tachyon, licencia estándar",,TRUE,,,graphics/icons/skills/flux_dynamics.png,
cybernetic_augmentation,Mejora Cibernética,1080,5,4,2,No hagas caso a esos llorones cripto-luditas del comité de ética; la tasa de rechazo no se acerca ni de lejos a lo que sugieren los rumores.,"«Doctor» Wyatt Cydonia (alias), interceptación COMSEC",,TRUE,,,graphics/icons/skills/cybernetic_augmentation.png,
phase_corps,Calibración de Bobinas Phase,1070,4,2,0,"Tri-Tachyon profana a la creación cada día, y cada profanación cierne sobre nosotros la condena total. El camino es martirio; el camino es sufrimiento. Los enfrentaremos con la fe de que la única redención es el juicio final.","Livewell Cotton, terrorista del Camino de Ludd, sermón del c205.2.12",,TRUE,,,graphics/icons/skills/phase_corps.png,
special_modifications,Modificaciones Especiales,1080,5,,,"Los del Dominio... mira que diseñaban para que durase, es cierto. Pero con esa vida tan cómoda, se nota que les daba miedo llevar estos aparatos al límite.","Luna Hexagen, ingeniera independiente, ciudad de Agreus",,,,"npc_only, deprecated",graphics/icons/skills/special_modifications.png,
neural_link,Enlace Neuronal,1075,4,2,0,¿Por qué debería un capitán hundirse con su barco? La corporación Tri-Tachyon no desperdicia el talento de primera.,"Vicepresidenta Nereid De Jong, en la presentación del «Proyecto Heket»",,,,,graphics/icons/skills/neural_link.png,
automated_ships,Naves Automatizadas,1090,5,4,2,[CENSURADO],COMSEC de la Hegemonía,,,,,graphics/icons/skills/automated_ships.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
# INDUSTRY,,,,,,,,,,,,,
bulk_transport,Transporte en Masa,1500,1,0,,"No puedes escapar de la economía igual que no puedes escapar de la gravedad. Nos rodea, nos envuelve, nos eleva. En su día unió a la galaxia, y volverá a hacerlo.","Artemisia Sun, Informe Anual c203",,,,,graphics/icons/skills/bulk_transport.png,
salvaging,Salvamento,1510,1,0,,"Me hace sentir muy pequeño, como si fuéramos alimañas saqueando las ciudades de los ángeles caídos.
También me hace rico.","Zion Hurst, jornalero del Gremio de Salvamento de Asher",,,,,graphics/icons/skills/salvaging.png,
field_repairs,Reparaciones in situ,1520,1,0,,No hay nadie en un radio de veinte años-luz que no tenga unas tibias cruzadas grabadas en el casco. Solo contamos con nuestra destreza y con lo que encontremos en ese campo de escombros para salir de aquí.,"Callisto Ibrahim, diario de expedición del c202.10.15",,,,,graphics/icons/skills/field_repairs.png,
ordnance_expert,Dominio de Armamentos,1530,3,1,,Los débiles temen el poder espiritual de la máquina de matar. Los fuertes reconocen instintivamente su belleza.,Citas del Ejecutor Supremo,TRUE,,,,graphics/icons/skills/ordnance_expert2.png,
polarized_armor,Blindaje Polarizado,1540,3,1,,"Los manuales pre-Colapso dicen que nunca se debe hacer esto. ... No, no lo sé. De momento no he tenido ningún problema.","Entrevista oculta con la jefa de ingeniería Kasi Thea-Radiative",TRUE,,,,graphics/icons/skills/polarized_armor.png,
containment_procedures,Protocolos de Contención,1550,4,2,,"Comprueba cada cierre tres veces con cuidado, para que la Muerte no te lleve al otro lado.",Tradición de astronauta,,,,,graphics/icons/skills/containment_procedures.png,
makeshift_equipment,Equipamiento Improvisado,1560,4,2,,Parece que nos dejamos las piezas de repuesto en órbita. No pasará nada... [ruido estático]... ya verás.,"Transcripción del audio de Jericho Wheeler, jefe de la expedición «H»",,,,,graphics/icons/skills/makeshift_equipment.png,
industrial_planning,Planificación Industrial,1570,4,2,,"Un mundo estéril pero prometedor, bien situado para convertirse en el centro cultural e industrial de Magec. Los modelos de SIE proyectan una inversión considerable en la explotación de los recursos del Cinturón de Guayota.","Memorándum sobre el desarrollo estratégico de Tri-Tachyon, pre-Colapso",,,TRUE,,graphics/icons/skills/industrial_planning.png,
derelict_contingent,Operaciones Chatarreras,1590,5,4,2,"Se creen que somos basura, esos ejecutivos y almirantes en sus relucientes naves. Nos desecharon en cuanto las cosas se torcieron. Pero el Sector se construyó sobre nosotros y seremos nosotros quienes les bajemos los humos.","agitador pirata anónimo, imágenes de vigilancia HEGINT ",,TRUE,,player_only,graphics/icons/skills/derelict_contingent.png,
hull_restoration,Restauración de Cascos,1580,5,4,2,No hay casco en el que un auténtico astronauta no pueda sentirse como en casa.,"Sol Secondshift, salvador veterano",,,,,graphics/icons/skills/recovery_ops.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
# Misc non-player,,,,,,,,,,,,,
omega_ecm,ECM Omega,10000,0,,,,,,,,npc_only,graphics/icons/skills/EW.png,
hypercognition,Hipercognición,10001,0,,,"Una máquina sin límites traída de todos los datos y todos los pensamientos humanos para combinarlos y recombinarlos en infinitas variantes. Basta con preguntar para obtener la respuesta adecuada.
Sin embargo, no me convence que el hecho de que nos engañen demuestre una tesis tan grandilocuente.","«El largo camino a Gilead», de Anónimo",,,TRUE,"npc_only, ai_core_only, codex_unlockable",graphics/icons/skills/hypercognition.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"# removed in 0.95.1a, but kept around for save compatibility",,,,,,,,,,,,,
space_operations,Opérations Spatiales,590,5,4,2,Les mêmes étoiles sont visibles dans le ciel de chaque monde.,Charte fondatrice de la Ligue Perséenne,,,,"npc_only, deprecated",graphics/icons/skills/space_ops.png,
planetary_operations,Opérations Terrestres,600,5,4,2,"La boue ? Ça ne me dérange pas. Les spacers se plaignent toujours de la boue.
C'est le sang que je ne supporte pas.","Griffin Sweet, fusilier marin mercenaire",,,,"npc_only, deprecated",graphics/icons/skills/planetary_ops.png,
colony_management,Gestion de Colonie,1590,5,4,2,"Là où il y a la vie, c'est le trône de Dieu, et tout ce qui est bon peut s'y trouver.",Textes Sacrés de Ludd,,,,"npc_only, deprecated",graphics/icons/skills/colony_management.png,
strike_commander,Commandant de Frappe,20,1,0,,Vous volerez et ce sera une tempête comme ils n'en ont jamais connu. Vous êtes la foudre venue fendre le ciel lui-même !,"Navarque Mars Kato, discours aux équipages de bombardiers du Sirocco
",TRUE,,,"carrier, spec, npc_only, deprecated",graphics/icons/skills/strike_commander.png,
ranged_specialization,Spécialisation à Distance,60,3,0,,"Vous voyez cette solution de tir ? Elle va faire surréagir les algorithmes défensifs au pire moment. Le piège, c'est qu'ils doivent la voir venir.","Maître Cameron Fourth-Phobos, instructeur affecté au champ de tir Coatl",TRUE,,,"spec, npc_only, deprecated",graphics/icons/skills/ranged_specialization.png,
shield_modulation,Modulation de Bouclier,70,4,0,,Rares sont ceux qui ont un talent pour ce que j'aime appeler l'« accord actif ». Je trouve que les musiciens font les meilleurs officiers de bouclier.,"Ardis Soloman, données divulguées soumises à l'algorithme de rédaction du COMSEC",TRUE,,,"npc_only, deprecated",graphics/icons/skills/defensive_systems.png,
phase_mastery,Maîtrise de Phase,80,4,0,,"Je ne remonte pas sur ce vaisseau, jamais de la vie.","Journal de cour martiale, [EXPURGÉ], daté ~c196 ?",TRUE,,,"phase, spec, elite_player_only, npc_only, deprecated",graphics/icons/skills/phase_mastery.png,
reliability_engineering,Fiabilité Mécanique,1530,2,0,,"À la fin, par le temps et les rads, mon corps mourra. Mes camarades me rendront aux étoiles qui m'ont créé, et mon vaisseau continuera.",Tradition spacer,TRUE,,,"npc_only, deprecated",graphics/icons/skills/reliability_engineering.png,
weapon_drills,Exercices de Tir,500,1,0,,"Qu'est-c'qui a stoppé l'complot Tri-Tach ? (Les canons !)
Qu'est-c'que l'vieux Ludd a oublié ? (Les canons !)
Qu'est-c'qu'on a qu'ils ont pas ? (Des gros, gros canons !)",chanson à boire de la Marine de l'Hégémonie,,,,"npc_only, deprecated",graphics/icons/skills/weapon_drills.png,
auxiliary_support,Soutien Auxiliaire,510,1,0,,Pas de réserves ? Regardez autour de vous ! Il y a un millier de vaisseaux spatiaux dans les docks civils et un milliard de citoyens dans les arcologies. Nous n'avons qu'à ouvrir les stocks et leur donner des armes avant que l'invasion n'arrive.,Baikal Daud lors de la Défense de Chicomoztoc,,,,"npc_only, deprecated",graphics/icons/skills/auxiliary_support.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#combat_endurance,Endurance au Combat,0,1,,,"Through experience and planning, a seasoned officer has the ability to extend the effective warfighting time of ship and crew during the extreme conditions of combat deployment.",Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/combat_endurance2.png,
,,,,,,,,,,,,,
#ordnance_expert,Expertise en Armement,10,2,,,A detailed knowledge of the operational characteristics and maintenance protocols of armaments can be applied to achieve increased combat performance.,Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/ordnance_expert.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,"
"
#defensive_systems,Systèmes Défensifs,37.5,4,,,Extensive knowledge of the interactions between the ship's power grid and its defensive systems can produce qualitative improvements in operational characteristics.,Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/defensive_systems.png,
#advanced_countermeasures,Contre-Mesures Avancées,39,4,,,Attention to detail and regular maintenance can allow the various defensive systems of a hull to excel in their role.,Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/advanced_countermeasures.png,
#evasive_action,Action Évasive,40,5,,,"Even if incoming fire cannot be completely avoided, the pilot often has a choice in just where the damage is taken, which can result in reduced damage impact.",Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/evasive_maneuvering.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#command_and_control,Commandement et Contrôle,90,1,,,Hard-won experience - as well as poring over tactical manuals and battle reports - allow the commander to formulate and carry out more advanced battle plans.,Lorem Ipsum,,,,"npc_only, deprecated",graphics/icons/skills/advanced_tactics.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#fighter_doctrine,Doctrine de Chasseurs,130,3,,,"Carriers and fighter wings have a very different set of requirements from regular ships, and an experienced fleet commander can make a critical difference by providing proper support.",Lorem Ipsum,,,,"carrier, npc_only, deprecated",graphics/icons/skills/fighter_doctrine.png,
#carrier_command,Commandement d'Astroporteurs,135,3,,,"Fighter wings and their crews have very specialized requirements, and an experienced captain can make a critical difference by providing proper support.",Lorem Ipsum,TRUE,,,"carrier, npc_only, deprecated",graphics/icons/skills/carrier_command.png,
#wing_commander,Commandant d'Escadrille,140,4,,,"Rigorous training drills, select personnel, and camaraderie forged through hardship can turn a rag-tag bunch of fighter pilots into an efficient, elite-level force.",Lorem Ipsum,TRUE,,,"carrier, npc_only, deprecated",graphics/icons/skills/wing_commander.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#flux_modulation,Modulation du Réseau Électrique,155,1,,,Preventive maintenance and some inspired on-the-fly adjustments can greatly increase the capacity of the ship's power grid.,Lorem Ipsum,TRUE,,,"npc_only, deprecated",graphics/icons/skills/power_grid_manipulation.png,
,,,,,,,,,,,,,
#ship_design,Conception de Configuration,170,2,,,"The baseline specifications for ship loadouts are notoriously conservative, and an experienced engineer can push them well above their stated limits.",Lorem Ipsum,,,,"npc_only, deprecated",graphics/icons/skills/loadout_design.png,
,,,,,,,,,,,,,
#fleet_logistics,Logistique de Flotte,1560,4,,,"Making sure supplies and other materiel get where they need to be is not a glorious task. It is, however, critical - both in dealing with emergencies and ensuring smooth day-to-day operations.",Lorem Ipsum,,,,"npc_only, deprecated",graphics/icons/skills/fleet_logistics.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
#recovery_operations,Opérations de Récupération,260,1,,,"Extracting working equipment or even useful replacement parts out of wreckage requires broad technical knowledge, prudence, and a willingness to take calculated risks.",Lorem Ipsum,,,,"npc_only, deprecated",graphics/icons/skills/recovery_ops.png,
#safety_procedures,Procédures de Sécurité,1540,3,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",Lorem Ipsum,,,,"npc_only, deprecated",graphics/icons/skills/safety_procedures.png,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
aptitude_combat,,0,,,,,,,,,,graphics/icons/skills/category_combat.png,
aptitude_leadership,,0,,,,,,,,,,graphics/icons/skills/category_leadership.png,
aptitude_technology,,0,,,,,,,,,,graphics/icons/skills/category_technology.png,
aptitude_industry,,0,,,,,,,,,,graphics/icons/skills/category_industry.png,
