id,type,text1,text2,text3,text4,text5,notes
bomb,WEAPON,"Un sistema de armas probado y contrastado, las bahías de bombas albergan múltiples ojivas que dependen de la velocidad de la nave lanzadora para alcanzar su objetivo.

Cada compartimento de bombas está equipado con varias bombas Comp-X altamente explosivas no guiadas que pueden lanzarse de una en una. Las bombas carecen de sistema de propulsión y dependen de la velocidad de la nave lanzadora para llegar al objetivo (es decir, bombardeo en picado). El blindaje atmosférico intrínseco al diseño también confiere a las bombas una gran capacidad de supervivencia en un entorno hostil de defensa antiaérea.",,,,,
lightneedler,WEAPON,"Dispara ráfagas de pequeñas flechettes a una alta cadencia de fuego. El volumen de fuego puede abrumar rápidamente a los proyectores de escudos, pero suele ser ineficaz contra el blindaje.

Un Aguijoneador Ligero es un cañón de flechettes de pequeño calibre, diseñado para disparar munición sin casquillo. Cuenta con un impresionante sistema de alimentación que puede lanzar cientos de «aguijones» por segundo. No es necesario un sistema de expulsión, y el espacio ahorrado se utiliza para proporcionar unidades de refrigeración adicionales, lo que mejora enormemente la cadencia de fuego. 

La doctrina naval del Dominio sostiene que el arma debe utilizarse contra los escudos enemigos a larga distancia, pero en caso de apuro, los oficiales de artillería apuntarán con sus Aguijoneadores a los escuadrones de cazas enemigos y a las amenazas de misiles de largo alcance.",,,,,
railgun,WEAPON,"El cañón de riel, una mejora de alta tecnología del autocañón, dispara proyectiles precisos de medio alcance. Al igual que el autocañón, destaca por su capacidad para aniquilar los generadores de escudos enemigos.

El cañón de riel, una versión miniaturizada del cañón Gauss, se basa en un potente campo magnético para disparar proyectiles a gran velocidad. La precisión y el alcance son excelentes, y la torreta es capaz de girar rápidamente cuando no está disparando. 

Los oficiales de artillería que disponen de una amplia capacidad de flux prefieren el cañón de riel al autocañón.",,,,,
shredder,WEAPON,"Un cañón rotativo diseñado generosamente para proporcionar una gran facilidad de manejo y fiabilidad. Los oficiales de armamento de las Armadas profesionales del Sector Perseo, por su parte, maldicen al Thumper por recompensar los malos hábitos de mantenimiento. 

Destruye misiles y cazas enemigos con una abrumadora lluvia de proyectiles de fragmentación de pequeña carga útil y velocidad media. Aunque es eficiente en cuanto a flux, este sistema de armas tiene poco efecto contra blindajes y escudos.",,,,,
flak,WEAPON,"Un sistema de armas defensivo que dispara proyectiles llenos de metralla equipados con un fusible de proximidad para lograr el máximo efecto contra cazas y misiles.

La creciente importancia de las naves de caza pequeñas y baratas, especialmente en funciones de asalto, llevó a un mayor despliegue de este sistema de armas en los días previos al Colapso. Dispara proyectiles balísticos equipados con un fusible de proximidad. La explosión resultante lanza una lluvia de flechettes en un amplio volumen con un radio de destrucción respetable frente a objetivos estándar. Los modelos más nuevos cuentan con un sistema de control de fuego conectado directamente a un Predictor Mark VI.",,,,,
heavymg,WEAPON,"Primo mayor de la omnipresente categoría de armas de metralletas de fuego rápido, la metralleta pesada es eficaz contra objetivos tanto pequeños como medianos.

Bestia de carga de las naves de patrulla en todo el Sector, este sistema de armas cuenta con un fiable mecanismo de disparo por retroceso que, según se dice, se remonta a los días de la Vieja Tierra. Las características de seguridad incluyen un seguro contra disparo espontáneo para la limpieza del cerrojo abierto y la prevención de doble recarga. El arma suele montarse sobre una base relativamente maciza para ayudar a absorber el retroceso durante ráfagas de fuego prolongadas. Los calibres varían dentro de un alcance moderado y la munición se fabrica fácilmente en forjas estándar. 

Los proyectiles más pesados no se fragmentan al impactar como la munición más ligera y representan una amenaza creíble para las naves de clase fragata. Extremadamente precisa, aunque de disparo más lento que un cañón Vulcan. Destaca en su función de defensa antiaérea.",,,,,
arbalest,WEAPON,"Un diseño de arma anticuado con un alto daño por disparo para su tamaño. Los proyectiles cinéticos son especialmente eficaces contra los escudos enemigos.

Las naves de patrulla más pesadas en el momento del Colapso estaban equipadas en su mayoría con la plataforma de armas Arbaleste Mk I; esto probablemente explica por qué se afirma que el Arbaleste es uno de los sistemas de armas de nave más rebuscados en el Sector. El primitivo sistema de refrigeración y la falta de un ejetor automático dificultan la cadencia de fuego y la fiabilidad. 

La única característica positiva es la ubicuidad de los planos para el proyectil del Arbaleste, que resulta eficaz para derribar los escudos enemigos. La eficacia de los proyectiles no se conoce bien, y se sospecha que radica en las propiedades electromagnéticas no deseadas de las camisas de los proyectiles.",,,,,
dualflak,WEAPON,"Una versión mejorada y tremendamente eficaz del cañón antiaéreo con doble montura. Apodado «The Widowmaker» (el hacedor de viudas) por su capacidad para destrozar a los cazas enemigos.

Al igual que el cañón flak estándar, esta arma devasta cazas y misiles de menor tamaño, aunque dispara dos proyectiles equipados con fusibles de proximidad. La dispersión conformada garantiza una doble detonación y un mayor radio de destrucción. Rara vez se lanzan cazas intencionadamente contra naves equipadas con el Flak Dual por razones obvias. Excelente cadencia de fuego y velocidad de rotación de la torreta.",,,,,
chaingun,WEAPON,"La ametralladora Mk. II de GA-X Industries destaca en el combate a corta distancia, donde la precisión es menos importante que el daño total y el volumen de fuego.

Herramienta favorita de los capitanes para el «combate cuerpo a cuerpo», la Ametralladora de Asalto dispara proyectiles altamente explosivos contra el objetivo a una velocidad temible. Cuenta con sistemas de alimentación y expulsión motorizados y una avanzada unidad de nano-refrigeración integrada directamente en el cañón. 

El único inconveniente es un perfil de torreta más pesado que, junto con la falta del plano del regulador correspondiente, suele montarse en rotadores incompatibles, lo que da lugar a velocidades de rotación de la torreta inesperadamente bajas.",,,,,
heavymauler,WEAPON,"Un sistema de armas avanzado diseñado para perforar blindajes a largo alcance. Tiene una cadencia de fuego sostenida baja, pero un alto daño por ráfaga.

El Mauler Pesado es un arma brutal diseñada para participar en enfrentamientos a media y larga distancia. En esencia, el arma es un autocañón con un sistema de nanorrefrigeración y un puerto de expulsión externo. Sin embargo, a diferencia de los autocañones normales, el Mauler Pesado se distingue por un cargador de cañón de antimateria alimentado por cantidades insignificantes de combustible estándar de nave estelar.

Al salir de la cámara de disparo, cada ojiva de proyectil se carga con un campo de antiprotones que flotan entre 10 y 20 nanómetros por delante del proyectil, estabilizados por un recubrimiento de bariones. Al impactar contra un objetivo, esta «envoltura» de antiprotones pierde su integridad estructural y la reacción resultante causa daños adicionales. Dado que los proyectiles ya ejercen una impresionante fuerza destructiva sobre el objetivo, la reacción combinada hace que el Mauler Pesado sea particularmente eficaz contra objetivos blindados.",,,,,
heavyac,WEAPON,"Cañón de triple barril que dispara una ráfaga de proyectiles estandarizados a medio alcance. Es más eficaz contra los escudos enemigos.

Autocañón de triple barril, normalmente desplegado con munición de calibre medio. Las espoletas de disparo de encendido eléctrico garantizan un recuento preciso de disparos. Es un arma de apoyo de fuego excelente, que suele instalarse en naves de clase destructor y crucero. Una batería de autocañones pesados con una solución de disparo adecuada puede suponer una grave amenaza para las naves capitales. 

Sin embargo, la masa adicional necesaria para albergar los complejos sistemas de carga automática y refrigeración da lugar a una velocidad de rotación muy baja.",,,,,
hveldriver,WEAPON,"Un arma especializada diseñada para provocar sobrecarga y inutilizar los sistemas enemigos a distancia. El proyectil de duranio de alta velocidad también es eficaz contra los escudos.

El Acelerador de Hipervelocidad utiliza un proceso de dos etapas para acelerar un proyectil de duranio con un núcleo magnetizado de hierro-cobalto hasta alcanzar una velocidad muy elevada. Primero, una carga química acelera el proyectil; a continuación, las bobinas magnéticas toman el control, acelerándolo aún más y estabilizando su trayectoria. El proyectil está altamente cargado cuando alcanza el objetivo, lo que genera una cantidad significativa de interferencia electromagnética en la nave contra la que impacta.",,,,,
heavyneedler,WEAPON,"Una versión de doble montaje del Aguijoneador Ligero con una base más pesada, este avanzado sistema de armas es capaz de abrumar rápidamente a los proyectores de escudos.

El Aguijoneador Pesado es un arma avanzada que dispara pequeños proyectiles flechette. Se trata de una mejora con respecto al Aguijoneador Ligero, ya que cuenta con mejores sistemas de alimentación y refrigeración, lo que permite una cadencia de fuego aún mayor. Los proyectiles son idénticos a los de la versión ligera: munición sin casquillo con flechettes recubiertas de tungsteno, llamados «aguijones».",,,,,
gauss,WEAPON,"Un arma de largo alcance diseñada para provocar una sobrecarga en los escudos del objetivo. El proyectil cinético pesado que dispara también es eficaz contra todas las armaduras, salvo las más pesadas.

Utiliza bobinas magnéticas para acelerar un gran proyectil compuesto ultradenso hasta velocidades relativistas. Suele tener un alcance de cientos de gigaamperios, y rara vez supera el teraamperio. A diferencia de la mayoría de las armas balísticas, tiene una carga de flux muy alta al disparar. Las torretas equipadas con este sistema tienen una velocidad de rotación extremadamente baja. 

Arma muy eficaz cuya utilidad se ve limitada por la baja potencia del reactor de las naves que suelen llevar grandes soportes para armas balísticas. ",,,,,
hephag,WEAPON,"Un gran sistema de cañón balístico con buen alcance operativo; sus proyectiles altamente explosivos de carga hueca están diseñados para destrozar el blindaje pesado. Su potencia de daño bruta también puede servir para abrumar a emisores de escudos más débiles.

El cañón de asalto Hefesto es una plataforma armamentística verdaderamente devastadora que recibe su nombre de una deidad de la Vieja Tierra asociada a un lejano predecesor de la nanoforja. Un chasis típico cuenta con dos cañones L/89 que compensan el disparo de proyectiles destructores de blindaje con una alta cadencia de fuego. El eyector electromagnético, el sistema de alimentación motorizado y los nanorrefrigerantes permiten que el arma dispare durante largos periodos de tiempo, limitados únicamente por la reserva de flux.

Existe una tradición entre los oficiales de la Hegemonía de referirse al «bum-bum» del retroceso del Hefesto como «el latido del corazón de la Armada de la Hegemonía», a lo que la tripulación responde con un sonoro «¡Hurra!». En los bares de puerto se practican varios juegos de beber con una temática similar, aunque expresada de forma más cruda, para gran disgusto de los propietarios debido al estruendo de los pies y a la inevitable rotura de vasos.",,,,,
mark9,WEAPON,"El Mark IX, un imponente autocañón de medio alcance que se utiliza con mayor eficacia contra escudos, también puede servir admirablemente para destruir cascos sin blindaje. Su diseño de dos cañones y su exclusivo sistema de doble carga permiten disparar un gran volumen de proyectiles de gran calibre.

Los planos del Mark IX fueron redescubiertos por primera vez en el Sector Perseo en un derelicto a la deriva capturado en el pozo gravitacional de la Estrella de Penélope. Tras un examen apresurado de los archivos por parte de un evaluador no cualificado —los informes históricos consideraban el Mark IX obsoleto debido a su bajo rendimiento contra las naves de guerra fuertemente blindadas que predominaban en aquella época—, los planos se subastaron y fueron adquiridos por una pequeña organización mercenaria conocida como Tactistar, un contratista militar que entonces era una filial de Ko Combine, y quedaron en el olvido. Tras varios ciclos, se reunió el capital excedente suficiente para construir finalmente un prototipo de prueba para ensayos de armas. El Mark IX era, en general, poco excepcional, considerado demasiado grande y mediocre contra objetivos blindados. No obstante, su potencia de daño bruta era impresionante y las pruebas secundarias mostraron un efecto devastador cuando se empleaba contra objetivos protegidos por escudos.

Posteriormente, el Mark IX no permaneció en secreto por mucho tiempo. Tactistar Combine vendió con beneficios los derechos de fabricación en todo el Sector Perseo y pronto se recompró a sí misma de su siempre pesada corporación matriz.",,,,,
mjolnir,WEAPON,"Un sofisticado sistema de cañones de medio alcance que inflige un daño superior junto con una carga útil EMP significativa.

El Mjolnir es técnicamente un proyector magnetogravitacional más que un cañón tal y como se entiende tradicionalmente. Cada munición contiene una pequeña cantidad de materia condensada exótica y una microsingularidad aislada que se combinan de forma destructiva al impactar, canalizando la energía a través de una lente gravitacional temporal. El efecto local provoca la devastación de la materia ordinaria y la liberación de un potente pulso electromagnético (EMP) que inutiliza las armas y los sistemas de la nave objetivo.",,,,,
multineedler,WEAPON,"Dispara una lluvia devastadora de proyectiles cinéticos que superan fácilmente a la mayoría de los proyectores de escudos.

La Tormenta de Aguijones es un gran sistema de armas balísticas que dispara munición de flechettes de pequeño calibre sin casquillo. Habiendo alcanzado los límites prácticos de los sistemas de refrigeración de tamaño medio, los diseñadores de munición sin casquillo abrieron el camino hacia armas más grandes con los avanzados nanorecicladores de refrigerante de la Tormenta de Aguijones, el estriado magnetizado por cañón y el funcionamiento automatizado. Un cargador automático inteligente extrae y carga la cantidad justa de munición de los cargadores, lo que permite un funcionamiento prolongado siempre que la nave anfitriona cuente con la capacidad de flux adecuada.",,,,,
hellbore,WEAPON,"Un enorme cañón que dispara proyectiles cargados de plasma de movimiento lento. Los proyectiles son muy eficaces contra el blindaje y destruyen cualquier estructura del casco que quede debajo.

Una temida plataforma de armas, rara vez desplegada debido a la complejidad que implica la fabricación de un cañón ensamblado capaz de disparar con seguridad enormes proyectiles altamente explosivos de carga hueca. Cuando un proyectil de este tipo impacta en un objetivo, el efecto Neumann hace que la ojiva impulse un chorro de metal fundido hacia el blindaje del objetivo, vaporizando una pequeña zona, provocando brechas en el casco, despresurización y daños internos extensos por la metralla.",,,,,
reaper,WEAPON,"Un único torpedo no guiado de potencia devastadora con un potente motor a bordo.

El arma de asalto por excelencia, un solo torpedo Reaper es un gran sistema de lanzamiento autopropulsado, blindado y no guiado para una ojiva nuclear enriquecida y catalizada con AM. La ciencia que hay detrás del detonador, sorprendentemente compacto, es poco conocida en el Sector, aunque se especula ampliamente que se basa en física clasificada como secreta por las autoridades del Dominio. Lo que se sabe es que tres o cuatro de estos, si logran eludir los arcos de DA, son suficientes para destruir incluso la nave capital más grande.",,,,,
atropos,WEAPON,"Un lanzador de torpedos guiados avanzados. La carga útil es menor de lo habitual para dejar espacio al avanzado paquete de guía y a la masa de reacción del sistema de maniobra.

El torpedo Atropos es un torpedo guiado de gran tamaño con un alcance ampliado. Cada rampa monta dos torpedos que pueden dispararse por separado, lo que permite a los capitanes de asalto la máxima flexibilidad. La ojiva nuclear catalizada por AM que se utiliza habitualmente en las ojivas de los torpedos no está presente aquí, ya que la interferencia bariónica del detonador interferiría con los sistemas de guía. Se sustituye por una carga química más pequeña, pero aún así potente.",,,,,
atropos_single,WEAPON,"Un único torpedo guiado avanzado. La carga útil es menor de lo habitual para dejar espacio al paquete de guía avanzado y a la masa de reacción del sistema de maniobra.

El torpedo Atropos es un torpedo guiado de gran tamaño con un alcance ampliado. Aquí no se incluye la ojiva nuclear catalizada por AM que se utiliza habitualmente en las ojivas de los torpedos, ya que la interferencia bariónica del detonador afectaría a los sistemas de guía. Se sustituye por una carga química más pequeña, pero igualmente potente.

Este soporte cuenta con un solo torpedo.",,,,,
swarmer,WEAPON,"Un lanzador de misiles guiados de corto alcance. Los misiles están diseñados para interceptar objetivos ágiles y son especialmente eficaces contra naves pequeñas, como fragatas y cazas.

Lanza ráfagas de pequeños misiles. Un sencillo sistema de infrarrojos proporciona un seguimiento eficaz, mientras que los micropropulsores químicos ofrecen una maniobrabilidad excepcional. Los algoritmos de puntería, perfeccionados a lo largo de siglos de aplicación en el mundo real, permiten a los misiles adelantarse al objetivo: rara vez fallan y son muy difíciles de esquivar.",,,,,
swarmer_fighter,WEAPON,Lanzador de misiles guiados de corto alcance. Los misiles están diseñados para interceptar y destruir cazas enemigos.,,,,,
annihilator,WEAPON,"Dispara una ráfaga de cohetes no guiados que cubren un amplio arco. Se utiliza normalmente para destripar el blindaje enemigo una vez que los escudos están desactivados.

Cohetes de medio a largo alcance lanzados desde una pequeña vaina que dispara cinco misiles por salva en una dispersión estrecha para mejorar las probabilidades de impacto. Los cohetes son pequeños y no guiados, y el espacio adicional lo ocupan una ojiva más grande y sistemas de propulsión mejorados, así como un blindaje más grueso. 

Funciona bien contra objetivos más grandes debido a la mayor probabilidad de realizar un asalto con múltiples cohetes. Un ataque con cohetes se utiliza a menudo como cortina de humo antes de un ataque con torpedos para incapacitar los sistemas de defensa antiaérea. Tarda varios segundos en recargarse tras una salva.",,,,,
annihilator_fighter,WEAPON,Dispara una salva de cohetes no guiados. Se suele utilizar para destripar el blindaje enemigo una vez que los escudos están desactivados.,,,,,
annihilatorpod,WEAPON,"Dispara una ráfaga de cohetes no guiados. Útil para hacer frente al blindaje enemigo o, al no tener coste de flux, para ejercer presión sostenida.

Cuenta con los mismos cohetes de medio a largo alcance que se encuentran en los lanzadores más pequeños. Los cohetes no están guiados, y el espacio adicional lo ocupan una ojiva más grande y sistemas de propulsión mejorados, así como un blindaje más grueso. 

Funciona bien contra objetivos más grandes debido a la mayor probabilidad de realizar un asalto con múltiples cohetes. Un ataque con cohetes se utiliza a menudo como cortina de humo antes de un ataque con torpedos para incapacitar los sistemas de defensa antiaérea. ",,,,,
heatseeker,WEAPON,"Se dirige hacia los motores del objetivo y los inutiliza con una potente ráfaga EMP. Un sistema de carga automática apto para el combate garantiza su utilidad en enfrentamientos prolongados.

El misil Salamandra es un arma especializada con dos aspectos de diseño a destacar. El primero es un mecanismo de puntería y selección de objetivos extremadamente avanzado que le permite dirigirse hacia los motores enemigos, evitando al mismo tiempo todos los demás puntos de impacto potenciales y las amenazas de defensa antiaérea. 

La segunda es un diseño especial de ojiva que, en lugar de intentar destruir el objetivo con fuerza cinética o explosiva, genera campos electromagnéticos dirigidos de gran intensidad. Cuando se crea un campo de este tipo en las proximidades de motores y componentes del casco sin blindaje, inutiliza rápidamente todos sus sistemas electrónicos, dejándolos inservibles hasta que sean reparados.",,,,,
salamanderpod,WEAPON,"Se dirige hacia los motores del objetivo y los inutiliza con una potente ráfaga EMP. Un sistema de carga automática apto para el combate garantiza su utilidad en enfrentamientos prolongados.

Una vaina montada externamente sustituye a los portamisiles más comunes y permite disparar dos misiles casi simultáneamente. Un sistema de carga automática extrae, arma y prepara la siguiente salva de dos misiles tras una breve espera.

El misil Salamandra es un arma especializada con dos características de diseño. La primera es un mecanismo de seguimiento y puntería extremadamente avanzado que le permite dirigirse hacia los motores enemigos, evitando al mismo tiempo todos los demás puntos de impacto potenciales y las amenazas de defensa antiaérea. 

La segunda es un diseño especial de ojiva que, en lugar de intentar destruir el objetivo con fuerza cinética o explosiva, genera campos electromagnéticos dirigidos de gran intensidad. Cuando se crea un campo de este tipo en las proximidades de motores y componentes del casco sin blindaje, inutiliza rápidamente todos sus sistemas electrónicos, dejándolos inservibles hasta que sean reparados.",,,,,
harpoon,WEAPON,"Portamisiles de medio alcance y alta carga útil. Devastador contra naves con escudos desactivados.

Misiles de medio alcance en tres portamisiles. Un excelente sistema de propulsión lanza una gran ojiva hacia el objetivo a velocidades subluminales. Al sacrificar maniobrabilidad a cambio de velocidad y tamaño de la ojiva, el misil de medio alcance es una de las armas no de impacto de mayor potencia empleadas en el Sector. Un solo impacto es casi letal para naves del tamaño de una fragata.

Este sistema de armas cuenta con un lanzador que alberga múltiples misiles.",,,,,
harpoonpod,WEAPON,"Vaina de misiles guiados de medio alcance y alta carga útil. Devastador contra naves con escudos desactivados.

Una vaina montada externamente sustituye a los portamisiles más comunes y permite disparar múltiples misiles casi simultáneamente. Un cargador automático extrae, arma y prepara la siguiente salva de misiles tras una breve espera.

Estos misiles de medio alcance son idénticos a los lanzados desde portamisiles simples o triples, y son una forma excelente de acabar con una nave con los escudos desactivados. Un excelente sistema de propulsión lanza una gran ojiva hacia el objetivo a velocidades subluminales. Al sacrificar maniobrabilidad a cambio de velocidad y tamaño de la ojiva, el misil de medio alcance es una de las armas no de impacto de mayor potencia empleadas en el sector. Un solo impacto es casi letal para naves del tamaño de una fragata.
",,,,,
harpoon_single,WEAPON,"Misil guiado de medio alcance y alta carga útil. Devastador contra naves con los escudos derribados.

Un excelente sistema de propulsión lanza una gran ojiva hacia el objetivo a velocidades subluminales. Al sacrificar maniobrabilidad a cambio de velocidad y tamaño de la ojiva, el misil de medio alcance es una de las armas no de impacto de mayor potencia empleadas en el sector. Un solo impacto es casi letal para naves del tamaño de una fragata.

Este soporte solo puede lanzar un misil a la vez y lleva un único misil de repuesto en un cargador apto para combate empotrado en el casco.",,,,,
sabot,WEAPON,"Lanza una descarga de penetradores cinéticos de alta velocidad en la segunda fase cuando se encuentra dentro del alcance. Inflige graves daños a los escudos y daños masivos por pulso electromagnético (EMP) al impactar contra el casco o el blindaje enemigo. Difícil de detener con DA.

Los misiles de clase Sabot son armas cinéticas de dos etapas y corto alcance. La primera etapa del misil guiado proyecta un complemento secundario hasta una distancia de ataque de un objetivo protegido por escudos. A continuación, el ordenador de puntería a bordo enciende el propulsor de un penetrador cinético. Este «sabot», como se le conoce comúnmente, suele ser un proyectil estrecho y estabilizado lateralmente, fabricado con un material ultradenso como el uranio empobrecido.

Excelente para derribar escudos enemigos y provocar una sobrecarga. El blindaje estándar de las naves está espaciado, por lo que el sabot causa un daño más manejable si los escudos se bajan a tiempo para recibir el impacto en el blindaje.

Este sistema de armas cuenta con un lanzador que alberga múltiples misiles.",,,,,
sabotpod,WEAPON,"Dispara una ráfaga de penetradores cinéticos de alta velocidad en una segunda etapa cuando se encuentra dentro del alcance. Causa graves daños a los escudos y daños masivos por pulso electromagnético (EMP) al impactar contra el casco o el blindaje enemigo. Difícil de detener con DA.

La vaina sustituye a los portamisiles más comunes y permite disparar múltiples misiles casi simultáneamente. Un cargador automático extrae, arma y prepara la siguiente salva de misiles tras un breve retraso.

Los misiles de clase Sabot son armas cinéticas de dos etapas y corto alcance. La primera etapa de un misil guiado proyecta un conjunto secundario hasta una distancia de ataque de un objetivo protegido por escudos. A continuación, el ordenador de puntería a bordo enciende el propulsor de un penetrador cinético. Este «sabot», como se le conoce comúnmente, suele ser un proyectil estrecho y estabilizado lateralmente, fabricado con un material ultradenso como el uranio empobrecido.

Excelente para derribar escudos enemigos y provocar una sobrecarga. El blindaje estándar de las naves está espaciado, por lo que el sabot causa un daño más manejable si los escudos se bajan a tiempo para recibir el impacto en el blindaje.

Este sistema de armas cuenta con un bastidor de disparo que alberga múltiples misiles.",,,,,
