name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Tripulación de Cubierta Expandida,expanded_deck_crew,1,,,"special, merc, standard",Fighters,4000,,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.ExpandedDeckCrew,"Reduce en un %s la velocidad a la que disminuye la tasa de repuesto de cazas debido a las bajas, y aumenta en un %s la velocidad a la que se recupera.

Aumenta en un %s la tripulación necesaria por bahía de cazas.","Mejora la tasa de repuesto de cazas y aumenta la tripulación necesaria.",,graphics/hullmods/expanded_deck_crew.png
Cargadores Expandidos,magazines,1,,,"offensive, merc, standard",Weapons,2500,,,,3,5,7,10,data.hullmods.ExpandedMagazines,Aumenta la capacidad de munición o el número de cargas de las armas balísticas y de energía en un %s.,Aumenta la munición/cargas de las armas balísticas y de energía.,Aumenta la velocidad de regeneración de munición/cargas de las armas balísticas y de energía en un %s.,graphics/hullmods/expanded_magazines2.png
Portamisiles Expandidos,missleracks,1,,,"offensive, merc, standard",Weapons,5000,,,,8,12,20,30,data.hullmods.ExpandedMissileRacks,Aumenta la capacidad de munición de las armas de misiles en un %s.,Aumenta la munición de las armas de misiles.,Reduce la cadencia de disparo de las armas de misiles en un %s.,graphics/hullmods/expanded_missile_racks.png
Escudos Extendidos,extendedshieldemitter,1,,,"shields, defensive, merc, standard",Shields,5000,,,,4,8,12,20,data.hullmods.ExtendedShieldEmitter,Aumenta el radio de cobertura del escudo en %s grados.,Aumenta el arco máximo del escudo.,Aumenta la cobertura del escudo en %s grados adicionales.,graphics/hullmods/extended_shields.png
Bobina de Flux Auxiliar,fluxcoil,0,,,"special, merc, standard",Special,4000,TRUE,,,4,8,12,20,data.hullmods.FluxCoilAdjunct,"Aumenta la capacidad de flux de la nave en %s/%s/%s/%s, dependiendo del tamaño del casco. No es tan eficiente como los capacitadores de flux — resulta más útil cuando se añade a un diseño que ya cuenta con el número máximo posible de capacitadores.",Aumenta la capacidad de flux,"Aumenta la capacidad de flux en un %s/%s/%s/%s adicional, haciendo que la bobina sea tan eficiente como si se añadieran capacitadores.",graphics/hullmods/flux_coil_adjunct.png
Distribuidor de Flux,fluxdistributor,0,,,"special, merc, standard",Special,4000,TRUE,,,4,8,12,20,data.hullmods.FluxDistributor,"Aumenta la disipación de flux de la nave en %s/%s/%s/%s, dependiendo del tamaño del casco. No es tan eficaz como los disipadores de flux — resulta más útil cuando se añade a un diseño que ya cuenta con el número máximo posible de disipadores.",Aumenta la disipación de flux,"Aumenta la disipación de flux en un %s/%s/%s/%s adicional, haciendo que el distribuidor sea tan eficaz como si se le hubieran añadido disipadores.",graphics/hullmods/flux_distributor.png
,,,,,,,,,,,,,,,,,,,
Escudos Retirados,shield_shunt,1,,,"special, shields, merc, standard","Special, Shields",3000,,,,3,5,7,10,com.fs.starfarer.api.impl.hullmods.ShieldShunt,"Retira los escudos de la nave. Los nodos emisores externos se sustituyen por un blindaje reforzado, lo que aumenta el blindaje de la nave en un %s.","Retira los escudos, aumenta el blindaje",Aumenta el blindaje de la nave en un %s adicional.,graphics/hullmods/shield_shunt.png
Generador de Escudos Improvisado,frontshield,0,,,"shields, defensive, standard",Shields,4000,,,,5,10,15,25,data.hullmods.FrontShieldGenerator,"Instala un generador improvisado de escudos ineficaz en la nave. El emisor de escudos queda fijado en una posición orientada hacia delante y tiene un arco de %s grados.

El generador de escudos obtiene gran parte de su energía de los motores y reduce la velocidad máxima de la nave en un %s.",Instala escudos básicos en una nave sin escudos. Reduce la velocidad máxima.,,graphics/hullmods/front_shield_generator.png
Autocargador de Misiles,missile_autoloader,1,,,"offensive, merc, standard",Weapons,6000,,,,8,12,20,30,com.fs.starfarer.api.impl.hullmods.MissileAutoloader,<tooltip created in the script due to sections/other complexity>,Recarga las armas de misiles en los soportes para misiles pequeños.,Aumenta el tiempo de enfriamiento tras recargar a %s segundos.,graphics/hullmods/missile_autoloader.png
Escudos Reforzados,hardenedshieldemitter,3,,,"shields, defensive, merc, standard",Shields,10000,,,,5,10,15,25,data.hullmods.HardenedShieldEmitter,Reduce el daño recibido por los escudos en un %s. También reduce la probabilidad de que los escudos sean atravesados por los arcos de pulso electromagnético (EMP) de armas como el Rayo Iónico.,Reduce el daño recibido por los escudos.,,graphics/hullmods/hardened_shields.png
Subsistemas Reforzados,hardened_subsystems,0,,,"special, merc, standard",Special,2500,TRUE,,,5,10,15,25,data.hullmods.HardenedSubsystems,"Aumenta en un %s el tiempo de máximo rendimiento de las naves cuyo rendimiento se ve mermado por un despliegue prolongado.

Además, reduce en un %s la velocidad a la que disminuye la capacidad de combate.","Aumenta el tiempo máximo y la CO se degrada más lentamente.",,graphics/hullmods/hardened_subsystems.png
Blindaje Pesado,heavyarmor,0,,,"defensive, merc, standard",Defenses,2500,,,,8,15,20,40,data.hullmods.HeavyArmor,"Aumenta el blindaje de la nave en %s/%s/%s/%s puntos, dependiendo del tamaño del casco.",Aumenta el blindaje.,Reduce la maniobrabilidad de la nave en un %s.,graphics/hullmods/heavy_armor.png
Amplificador de Alta Dispersión,high_scatter_amp,3,,,"offensive, merc, standard",Weapons,5000,,,,4,8,12,20,com.fs.starfarer.api.impl.hullmods.HighScatterAmp,<tooltip created in the script due to sections>,"Reduce alcance de rayos pero inflige más daño y aplica flux duro a escudos.",Aumenta el daño de las armas de rayos en un %s adicional.,graphics/hullmods/high_scatter_amp.png
IA Antiaérea Integrada,pointdefenseai,3,,,"defensive, merc, standard","Weapons, Defenses",10000,,,,3,6,9,15,data.hullmods.IntegratedPointDefenseAI,"Otorga a todas las armas de defensa antiaérea la capacidad de identificar —e ignorar— los señuelos de distracción. Además, todas las armas de defensa antiaérea obtienen la mejor puntería posible, independientemente de la capacidad de combate, y todo el daño infligido a los misiles se incrementa en un %s.","La defensa antiaérea ignora señuelos, mejora su puntería y aumenta el daño a misiles.","Todas las armas pequeñas que no sean de misiles ni de asalto se clasifican como «defensa antiaérea»; estas se redirigen automáticamente hacia los misiles y se ven afectadas por los modificadores de estadísticas de la defensa antiaérea.",graphics/hullmods/integrated_point_defense_ai.png
#Point Defense Integration,pdintegration,3,,,"defensive, merc","Weapons, Defenses",10000,,,,12,15,18,24,com.fs.starfarer.api.impl.hullmods.PDIntegration,"Reduce el coste en puntos de armamento de las armas pequeñas de defensa antiaérea en un %s. La reducción del coste solo afecta a las armas que incorporan capacidad de defensa antiaérea como característica intrínseca del arma y no cuando se obtiene por otros medios, como por ejemplo a través de una modificación del casco.

Además, todas las armas de defensa antiaérea infligen un %s más de daño a todos los objetivos.","Reduce el coste en puntos de armamento de las armas de defensa antiaéreas pequeñas y aumenta el daño de la defensa antiaérea.",,graphics/hullmods/integrated_point_defense_ai.png
Unidad de Puntería Integrada,targetingunit,3,,,"offensive, merc, standard",Weapons,10000,,,,4,8,15,25,data.hullmods.IntegratedTargetingUnit,"Aumenta el alcance de las armas balísticas y de energía en %s/%s/%s/%s, dependiendo del tamaño del casco. No es compatible con el Núcleo de Puntería Dedicado.

La mayoría de las naves de combate instalan una Unidad de Puntería Integrada o un Núcleo de Puntería Dedicado, salvo algunas variantes más especializadas.","Aumenta el alcance de las armas, sobre todo en naves más grandes.",,graphics/hullmods/integrated_targeting_unit.png
Relé de Navegación,nav_relay,2,,,"engines, special, merc, standard","Engines, Support",5000,,,,10,15,20,25,com.fs.starfarer.api.impl.hullmods.NavRelay,"Cuando se despliega en combate, aumenta el índice de navegación de tu flota en %s/%s/%s/%s, dependiendo del tamaño del casco de esta nave.

El índice de navegación total de tu flota aumenta la velocidad máxima de tus naves desplegadas.",Aumenta la velocidad máxima de las naves desplegadas.,,graphics/hullmods/nav_relay.png
Interfaz Neuronal,neural_interface,3,,,"special, no_drop, no_drop_salvage",Special,10000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.NeuralInterface,"Enlaza la nave insignia con otra nave, permitiendo que ambas naves se %s al mismo tiempo. Al igual que con el «comando de transferencia», algunos efectos de habilidades —como los que aumentan la capacidad de munición o capacidad de combate— no se aplican a la otra nave.

También permite cambiar rápidamente entre las naves enlazadas sin necesidad de utilizar una cápsula de transporte. La transferencia es instantánea si los puntos de despliegue combinados de las naves son %s o menos. La nave de destino no debe estar bajo el mando de un oficial ni de un núcleo de IA.","Permite trasladarse de nave, restablece el enfriamiento del sistema y añade una carga.","Los traslados desde el barco son siempre inmediatos, independientemente del total de puntos de despliegue.",graphics/hullmods/neural_interface.png
Integrador Neuronal,neural_integrator,,,,"special, no_drop, no_drop_salvage",Special,10000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.NeuralIntegrator,"Una versión mejorada de la interfaz neuronal que funciona con naves automatizadas, ya que permite el control directo de todos los sistemas de la nave a través del enlace y permite que ambas naves se %s al mismo tiempo. Al igual que con el «comando de transferencia», algunos efectos de habilidades —como los que aumentan la capacidad de munición o la capacidad de combate— no se aplican a la otra nave.

También permite cambiar rápidamente entre las naves enlazadas sin necesidad de utilizar una cápsula de transporte. La transferencia es instantánea si los puntos de despliegue combinados de las naves son %s o menos. La nave de destino no debe estar bajo el mando de un oficial ni de un núcleo de IA.

La complejidad de las modificaciones aumenta los puntos de despliegue de la nave y el coste de suministros para recuperarse del despliegue en un %s.",Interfaz neuronal especializada para naves automatizadas.,"Los traslados desde el barco son siempre inmediatos, independientemente del total de puntos de despliegue.",graphics/hullmods/neural_integrator.png
Convertidor de Escudos - Frontal,frontemitter,2,,,"shields, defensive, merc, standard",Shields,7000,,,,3,5,8,12,data.hullmods.FrontShieldEmitter,"Fija el emisor de escudo omnidireccional de la nave a una posición frontal y amplía su arco en un %s. Al igual que con todos los emisores frontales, el escudo se desplegará el doble de rápido.","Convierte el escudo omnidireccional en uno frontal y amplía su arco.",Reduce el daño recibido por los escudos en un %s.,graphics/hullmods/front_shield_emitter.png
Convertidor de Escudos - Omni,adaptiveshields,3,,,"shields, defensive, merc, standard",Shields,7000,,,,3,5,8,12,data.hullmods.OmniShieldEmitter,Convierte los escudos frontales en omnidireccionales. Reduce el arco de cobertura del escudo en un %s.,"Convierte el escudo frontal en omnidireccional y reduce el arco.",Anula la penalización de arco del escudo.,graphics/hullmods/omni_shield_emitter_mod.png
Centro de Operaciones,operations_center,1,,,special,Special,5000,,,,30,30,30,30,com.fs.starfarer.api.impl.hullmods.OperationsCenter,Aumenta la velocidad de recuperación de puntos de mando en un %s cuando se instala en la nave insignia.,Aumenta la velocidad de recuperación de puntos de mando en la nave insignia.,,graphics/hullmods/operations_center.png
Ancla Phase,phase_anchor,3,,,"phase, merc, no_build_in, standard, phase_brawler",Phase,7000,,,,10,20,30,50,com.fs.starfarer.api.impl.hullmods.PhaseAnchor,"Reduce el coste de activación del camuflaje phase a %s. Aumenta la disipación de flux blando y la velocidad de recarga de las armas en un %s mientras se encuentra en phase.

Al sufrir un daño crítico que, de otro modo, destruiría o inutilizaría la nave, esta puede iniciar una inmersión de emergencia en las profundidades del espacio-p. La nave se considera retirada y emergerá al espacio normal cuando termine el combate, sufriendo una penalización adicional a su capacidad de combate igual al %s de su coste de despliegue. La nave debe tener suficiente capacidad de combate para cubrir este coste y poder iniciar la inmersión.

Debido a las inmensas distorsiones en el espacio-p causadas por dicha maniobra, solo una nave por batalla —independientemente del bando al que pertenezca— es capaz de realizarla.","Aumenta la disipación de flux y la recarga de armas en phase; maniobra de emergencia.",,graphics/hullmods/phase_anchor.png
Lanzaderas de Recuperación,recovery_shuttles,1,,,"special, standard",Fighters,4000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.RecoveryShuttles,Reduce las bajas sufridas por los pilotos de cazas en un %s..,Reduce las pérdidas de pilotos de cazas.,Aumenta la reducción de bajas de los pilotos de cazas al %s.,graphics/hullmods/recovery_shuttles.png
Tabiques Reforzados,reinforcedhull,0,,,"defensive, merc, standard",Defenses,2500,TRUE,,,5,10,15,30,data.hullmods.ReinforcedBulkheads,"Aumenta la integridad del casco de la nave en un %s. Si es derrotada, la nave no se hará pedazos y casi siempre podrá recuperarse tras la batalla.",Aumenta la integridad del casco; la nave casi siempre es recuperable en caso de pérdida.,,graphics/hullmods/reinforced_bulkheads.png
Conductos de Flux Resistentes,fluxbreakers,2,,,"defensive, merc, standard","Special, Defenses",7000,,,,3,6,9,15,data.hullmods.FluxBreakers,"Reduce el daño EMP recibido de armas como los Cañones de Iones en un %s. Además, aumenta la tasa de disipación de flux de la nave durante la ventilación en un %s.","Reduce el daño EMP recibido y mejora la velocidad de ventilación.",Aumenta la tasa de disipación de flux durante la ventilación en un %s adicional.,graphics/hullmods/resistant_flux_conduits.png
Anulaciones de Seguridad,safetyoverrides,0,,,"special, engines, offensive, merc, no_build_in, standard","Special, Engines",2500,TRUE,,,15,30,45,70,data.hullmods.SafetyOverrides,"Desactivar los protocolos de seguridad aumenta la velocidad máxima de la nave en combate en un %s/%s/%s (dependiendo del tamaño de la nave, con el correspondiente aumento de la aceleración) y permite que el boost del motor en 0-flux haga efecto independientemente del nivel de flux. La tasa de disipación de flux, incluida la de los disipadores de ventilación adicionales, se incrementa en un factor de %s.

Reduce el tiempo de máximo rendimiento en un factor de %s, impide el uso de ventilación activa y reduce drásticamente el alcance de las armas más allá de %s unidades.

No se puede instalar en naves civiles ni en naves capitales.",Mejora drástica del rendimiento y reducción considerable del tiempo de rendimiento.,,graphics/hullmods/safety_overrides.png
,,,,,,,,,,,,,,,,,,,
Escudos Estabilizados,stabilizedshieldemitter,1,,,"shields, defensive, merc, standard",Shields,5000,,,,3,6,9,15,data.hullmods.StabilizedShieldEmitter,Reduce en un %s la cantidad de flux blando que generan los escudos activados por segundo. No afecta al flux duro generado cuando los escudos reciben daño.,Reduce el coste en flux de mantener los escudos activados.,Convierte el %s del daño de flux duro recibido por los escudos en daño de flux blando.,graphics/hullmods/stabilized_shields.png
,,,,,,,,,,,,,,,,,,,
Inyector Inestable,unstable_injector,0,,,"engines, merc, standard",Engines,2500,TRUE,,,5,10,15,25,data.hullmods.UnstableInjector,"Aumenta la velocidad máxima de la nave en combate en %s/%s/%s/%s su por segundo, dependiendo del tamaño del casco.

Interfiere en el sistema de puntería de las armas y en otros sistemas vulnerables, reduciendo el alcance de las armas que no son misiles en %s y aumentando el tiempo de repuesto de los cazas en %s.",Aumenta la velocidad y reduce el alcance de las armas.,,graphics/hullmods/unstable_injector.png
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Camarotes Adicionales,additional_berthing,0,,,"req_spaceport, merc, standard","Logistics, Requires Dock",3000,TRUE,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.AdditionalBerthing,"Aumenta la capacidad máxima de tripulación en %s/%s/%s/%s, dependiendo del tamaño del casco, o en %s, lo que sea mayor.

En el caso de los cascos civiles, también aumenta el consumo de suministros para el mantenimiento en %s.",Aumenta la capacidad de tripulación.,"Duplica el aumento de la capacidad de tripulación y, en el caso de los cascos civiles, anula el aumento del coste de mantenimiento.",graphics/hullmods/berthing.png
Campo de Propulsión Aumentado,augmentedengines,1,,,"req_spaceport, merc, standard","Logistics, Requires Dock",8000,,,,8,16,24,40,data.hullmods.AugmentedEngines,Aumenta el nivel máximo de propulsión en %s.,Aumenta el nivel máximo de propulsión.,Aumenta el nivel máximo de propulsión en %s adicional.,graphics/hullmods/augmented_drive_field2.png
Tanques de Combustible Auxiliares,auxiliary_fuel_tanks,0,,,"req_spaceport, merc, standard","Logistics, Requires Dock",4000,TRUE,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.AuxiliaryFuelTanks,"Aumenta la capacidad máxima de combustible en %s/%s/%s/%s, dependiendo del tamaño del casco, o en %s, lo que sea mayor.

En el caso de los cascos civiles, también aumenta el consumo de suministros para el mantenimiento en %s.",Aumenta la capacidad de combustible.,"Duplica el aumento de la capacidad de combustible y, en el caso de los cascos civiles, anula el aumento del coste de mantenimiento.",graphics/hullmods/fuel_tanks.png
Revisiones de Eficiencia,efficiency_overhaul,0,,,"req_spaceport, merc, standard","Logistics, Requires Dock",4000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.EfficiencyOverhaul,"Reduce el consumo de suministros para el mantenimiento, el consumo de combustible y la tripulación mínima necesaria en un %s.

Aumenta las tasas de recuperación de la capacidad de combate y de la reparación en un %s. El consumo diario de suministros para la recuperación de la capacidad de combate aumenta para compensar el incremento de la tasa de recuperación, pero el coste total de suministros sigue siendo el mismo.",Reduce los costes de mantenimiento y permite realizar más despliegues.,"Reduce los costes de mantenimiento, el consumo de combustible y la tripulación mínima necesaria en un %s adicional.",graphics/hullmods/efficiency.png
Bodegas de Carga Ampliadas,expanded_cargo_holds,0,,,"req_spaceport, merc, standard","Logistics, Requires Dock",4000,TRUE,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.ExpandedCargoHolds,"Aumenta la capacidad máxima de carga en %s/%s/%s/%s, dependiendo del tamaño del casco, o en %s, lo que sea mayor.

En el caso de los cascos civiles, también aumenta el consumo de suministros para el mantenimiento en %s.",Aumenta la capacidad de carga.,"Duplica el aumento de la capacidad de carga y, en el caso de los cascos civiles, anula el aumento del coste de mantenimiento.",graphics/hullmods/expanded_cargo.png
Sensores de Alta Resolución,hiressensors,2,,,"req_spaceport, merc, standard","Logistics, Requires Dock",9000,,,,4,6,9,15,com.fs.starfarer.api.impl.hullmods.HighResSensors,<Tooltip created in script>,Aumenta el alcance de los sensores de la flota.,"Aumenta el alcance de visión en combate de la nave en %s/%s/%s/%s, dependiendo del tamaño del casco.",graphics/hullmods/high_res_sensors.png
Ensamblado de Motores Aislados,insulatedengine,0,,,"engines, defensive, req_spaceport, merc, standard","Engines, Logistics, Defenses, Requires Dock",2500,,,,3,6,9,15,data.hullmods.InsulatedEngines,"Aumenta la durabilidad de los motores de la nave en un %s y la integridad del casco de la nave en un %s.

Además, el perfil de los sensores de la nave se reduce en un %s.","Hace que los motores sean más difíciles de inutilizar y reduce el perfil de los sensores.","Aumenta la durabilidad del motor en un %s adicional y reduce el perfil de los sensores en un %s.",graphics/hullmods/insulated_engine_assembly.png
Subsistemas Militarizados,militarized_subsystems,0,,,"req_spaceport, merc, standard","Special, Logistics, Requires Dock",6000,TRUE,,,4,8,12,20,com.fs.starfarer.api.impl.hullmods.MilitarizedSubsystems,"Elimina las penalizaciones de un casco civil y aumenta el nivel máximo de propulsión en %s.

Aumenta la tripulación mínima necesaria en un %s.","Elimina las penalizaciones a los sensores, aumenta el nivel máximo de propulsión y aumenta el número de tripulación mínima necesaria.",Anula el aumento de los requisitos de tripulación.,graphics/hullmods/militarized_subsystems.png
Blindaje Solar,solar_shielding,2,,,"defensive, req_spaceport, merc, standard","Defenses, Logistics, Requires Dock",5000,,,,3,6,9,15,data.hullmods.SolarShielding,"Desarrollado originalmente por los ingenieros del Diktat tras pasar mucho tiempo lidiando con las condiciones únicas del interior del sistema de Askonia. Reduce en un %s el efecto que tienen las coronas solares sobre la capacidad de combate; también incluye a las tormentas del hiperespacio profundo.

En combate, reduce el daño de energía recibido en un %s.",Reduce el efecto de estar bajo las coronas solares y el daño de energía recibido.,Aumenta la protección contra las coronas solares y riesgos similares al %s.,graphics/hullmods/solar_shielding2.png
