event_type,event_stage,p,target_rel,channels,subject,summary,assessment,image,icon,tags,sound_id,implementation notes
food_shortage,relief_sent,,,news,Escasez de alimentos $onOrAt $market: ayuda enviada desde $reliefMarket,"Una flota de ayuda humanitaria ha zarpado desde $reliefMarket, en el sistema $reliefSystem, y debería llegar a $marketSystem $eta.","La flota lleva consigo alimentos suficientes para poner fin a la escasez.

Si la flota no llega según lo previsto, la situación en $market se desestabilizará aún más.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,relief_unavailable,,,news,Escasez de alimentos $onOrAt $market: la situación empeora,"Aunque al principio se especuló con la posibilidad de que un planeta vecino pudiera enviar ayuda, parece que no va a llegar ninguna.",Desorden aumentado en $stabilityPenaltyRelief.,,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,relief_aborted,,,news,Escasez de alimentos $onOrAt $market: la flota de ayuda se ha visto obligada a dar media vuelta,"La flota de ayuda humanitaria de $reliefMarket fue atacada cuando se dirigía a $market, sufrió graves pérdidas y se vio obligada a dar media vuelta. La escasez de alimentos continúa sin cesar.",Desorden aumentado en $stabilityPenaltyRelief.,,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,end_relief_arrived,,,news,Escasez de alimentos $onOrAt $market: ha llegado la flota de ayuda,"La flota de ayuda de $reliefMarket ya ha llegado, y la escasez de alimentos $onOrAt $market ha terminado.","Desorden aumentado en $stabilityPenaltyEnd.

El precio de los alimentos $onOrAt $market ha vuelto a la normalidad.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,relief_lost,,,news,Escasez de alimentos $onOrAt $market: ha desaparecido la flota de ayuda,"La flota de ayuda humanitaria de $reliefMarket no llegó a su destino, y la escasez de alimentos continúa sin cesar.",Desorden aumentado en $stabilityPenaltyRelief.,,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,end_expired,,,news,Escasez de alimentos $onOrAt $market: situación resuelta,"El informe indica que la escasez de alimentos $onOrAt $market ha llegado a su fin. Se atribuye el fin de la escasez a diversos factores, entre los que se incluyen el racionamiento estricto, medidas para sofocar los disturbios y la llegada de varios comerciantes independientes.","Desorden aumentado en $stabilityPenaltyExpire.
El precio de los alimentos $onOrAt $market ha vuelto a la normalidad.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,end_player,,,news,Escasez de alimentos $onOrAt $market: situación resuelta,"El informe indica que la escasez de alimentos $onOrAt $market ya ha terminado. Se atribuye el fin de la escasez a la llegada de una flota de ayuda al mando de $playerName, aunque un administrador local se apresuró a destacar su propia contribución.","Desorden aumentado en $stabilityPenaltyEnd.
El precio de los alimentos $onOrAt $market ha vuelto a la normalidad.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,end_player_black,,,news,Escasez de alimentos $onOrAt $market: situación resuelta,"El informe indica que la escasez de alimentos $onOrAt $market ha llegado a su fin. Lamentablemente, gran parte de la distribución de la ayuda alimentaria quedó en manos de elementos delictivos, lo que reforzó su posición y socavó la autoridad de la administración local, tanto desde el punto de vista financiero como ante la opinión pública.","Desorden aumentado en $stabilityPenaltyBlack.
El precio de los alimentos $onOrAt $market ha vuelto a la normalidad.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,end_player_fast,,,news,Escasez de alimentos $onOrAt $market: situación resuelta,El informe indica que la escasez de alimentos $onOrAt $market ya ha terminado. Se atribuye a la llegada oportuna de una flota de ayuda al mando de $playerName el haber puesto fin rápidamente a la escasez y haber mitigado sus efectos a largo plazo.,"No se ha aumentado el desorden en $onOrAt $market.

El precio de los alimentos $onOrAt $market ha vuelto a la normalidad.",,graphics/icons/markets/food_shortage.png,prices,,
,,,,,,,,,,,,
,,,,,,,,,,,,
# player smuggling investigation,,,,,,,,,,,,
investigation_smuggling,start_smuggling,,,secure_comm,Investigación por contrabando $onOrAt $market,Un mensaje cifrado de uno de tus contactos en el mundo criminal de $market te advierte de que las autoridades de $theMarketFaction han iniciado una investigación sobre las recientes actividades de contrabando.,"Si la investigación determina que estás implicado en el contrabando, $theMarketFaction actuará de forma hostil hacia ti.

$InvestigatorPost $investigatorName es el encargado de llevar a cabo la investigación. Quizás puedas influir en el resultado poniéndote en contacto con $invHimOrHer.

La investigación durará $duration.",,,important,,
investigation_smuggling,clear_smuggling,,,player_intel_always,Investigación por contrabando $onOrAt $market - cerrada,"La investigación de $marketFaction sobre el contrabando ha concluido y parece que se te ha exonerado o, por lo menos, no se han encontrado pruebas concluyentes que demuestren tu implicación.",La reputación con $theMarketFaction no se ve afectada.,,,important,,
investigation_smuggling,clear_smuggling_bribe,,,player_intel_always,Investigación por contrabando $onOrAt $market - cerrada,"La investigación de $marketFaction sobre el contrabando ha concluido de acuerdo con tu «trato especial» con $investigatorName, y esta mancha en tu reputación ha quedado borrada.","El soborno a $InvestigatorPost $investigatorName ha surtido efecto.

La reputación con $theMarketFaction no se ve afectada.",,,important,,
investigation_smuggling,player_guilty_smuggling,,,player_intel_always,Investigación por contrabando $onOrAt $market - declarado culpable,La investigación de $marketFaction ha determinado que estuviste implicado en la reciente actividad de contrabando.,,,,important,,
# faction good reputation investigation,,,,,,,,,,,,
investigation_goodrep,start_goodrep,,,secure_comm,Investigación de $MarketFaction sobre tus vínculos con $OtherFaction,Un mensaje cifrado de uno de tus contactos $onOrAt $market te advierte de que las autoridades de $theMarketFaction han iniciado una investigación sobre tus vínculos con $theOtherFactionLong.,"$TheMarketFaction podría volverse hostil hacia ti como consecuencia de la investigación.

$InvestigatorPost $investigatorName $onOrAt $market es el encargado de llevar a cabo la investigación. Quizás puedas influir en el resultado poniéndote en contacto con $invHimOrHer.

La investigación durará $duration.",,,important,,
investigation_goodrep,clear_goodrep,,,player_intel_always,Investigación de $MarketFaction sobre tus vínculos con $OtherFaction - cerrada,"La investigación de $marketFaction sobre tus vínculos con $theOtherFactionLong ha concluido, y se te ha exonerado de haber actuado en contra de los intereses de $marketFaction.",La reputación con $theMarketFaction no se ve afectada.,,,important,,
investigation_goodrep,clear_goodrep_bribe,,,player_intel_always,Investigación de $MarketFaction sobre tus vínculos con $OtherFaction- cerrada,"La investigación de $marketFaction sobre tus vínculos con $theOtherFactionLong ha concluido de acuerdo con tu «trato especial» con $investigatorName, y se te ha exonerado de haber actuado en contra de los intereses de $marketFaction.","El soborno a $InvestigatorPost $investigatorName ha surtido efecto.

La reputación con $theMarketFaction no se ve afectada.",,,important,,
investigation_goodrep,player_guilty_goodrep,,,player_intel_always,Investigación de $MarketFaction sobre tus vínculos con $OtherFaction - declarado culpable,La investigación de $marketFaction sobre tus vínculos con $theOtherFactionLong ha concluido que has estado actuando en contra de los intereses de $theMarketFaction. Es evidente que $theMarketFaction sospechará especialmente de ti.,,,,important,,
,,,,,,,,,,,,
# comm sniffer investigation,,,,,,,,,,,,
investigation_comm_sniffer,start_comm_sniffer,,,player_intel_always,Se ha perdido el contacto con el interceptador de com. en $name,El interceptador de com. que has instalado en $name ha dejado de funcionar. Probablemente se deba a que algún software de seguridad lo ha desactivado. Es posible que una revisión manual de los registros de seguridad permita averiguar el origen del interceptador.,El interceptador de com. de $name ya no está operativo.,,,,,
investigation_comm_sniffer,player_guilty_comm_sniffer,,,player_intel_always,El interceptador de com. en $name se atribuye a ti,Una auditoría exhaustiva de los registros de seguridad de $name te ha delatado de vulnerar la seguridad del repetidor de comunicaciones.,,,,,,
,,,,,,,,,,,,
# trade disruption reports,,,,,,,,,,,,
trade_disruption,report_td,,,news,Comercio interrumpido $onOrAt $market del sistema $marketSystem,Las flotas mercantes que se dirigen hacia o desde $market no están llegando a su destino en un número significativo. El informe señala que la piratería o la guerra son las causas más probables.,"Es probable que los precios vuelvan a la normalidad en un plazo de dos meses.

Las siguientes mercancías se ven afectadas:
$commoditySummary

Selecciona «precios» y ve a la pestaña del mapa para obtener más detalles.",,graphics/icons/markets/trade_disruption.png,prices,,
trade_disruption,report_smuggling,,,news,Actividad de contrabando $onOrAt $market en el sistema $marketSystem,La situación $onOrAt $market se ha vuelto más inestable a raíz de las recientes actividades de contrabando. Las autoridades locales prometen una investigación a fondo.,Estabilidad reducida en $smugglingPenalty.,,graphics/icons/markets/smuggling.png,,,
trade_disruption,report_smuggling_player,,,news,Actividad de contrabando $onOrAt $market en el sistema $marketSystem,La situación $onOrAt $market se ha vuelto más inestable a raíz de las recientes actividades de contrabando en las que has estado involucrado. Las autoridades locales prometen una investigación a fondo.,"Estabilidad reducida en $smugglingPenalty.

Tus acciones recientes han contribuido a esta situación.",,graphics/icons/markets/smuggling.png,,,
,,,,,,,,,,,,
# rep changes,,,,,,,,,,,,
rep_tracker,trade_rep,,,player_intel_always,Reputación con $theFaction mejorada gracias al comercio,Hay indicios de que $theFaction ha tomado nota de tu actividad comercial reciente en $marketList.,,,,nomap,,
rep_tracker,smuggling_rep,,,player_intel_always,Reputación con $theFaction empeorada debido al contrabando,"Hay indicios de que $theFaction se ha percatado de tu reciente transacción en el mercado negro con $marketList. No hay pruebas concluyentes, pero está claro que tus acciones están siendo objeto de un escrutinio más minucioso que antes.",,,,nomap,,
rep_tracker,trade_negative,,,player_intel_always,Reputación con $theHostileFaction reducida debido al comercio con $pickedMarket,"Hay indicios de que tu operación con $pickedMarket fue lo suficientemente importante como para llamar la atención de $theHostileFaction, que es hostil hacia $theFaction.","Tu actividad fue informada inicialmente por terceros en $hostileMarket.

El contrabando (si lo hubo) tuvo menos repercusión que el comercio legal.",,,nomap,,
#rep_tracker,trade_no_change,,,player_intel_always,Reputación con $theFaction no afectada por el comercio,"Tu reciente actividad comercial con $marketList, aunque ha sido observada por $theFaction, no ha dado lugar a ningún cambio en las relaciones.",La reputación se encuentra en un punto en el que el comercio ya no la va a influir.,,,,,
#rep_tracker,trade_no_change_negative,,,player_intel_always,Reputación con $theHostileFaction no afectada por el comercio,"Tu actividad comercial reciente con $pickedMarket, aunque observada por las autoridades hostiles de $hostileMarket, no ha dado lugar a ningún cambio en las relaciones.",La reputación se encuentra en un punto en el que el comercio ya no la va a influir.,,,,,
rep_tracker,trade_xp_gain,,,player_intel_always,Ganancia de Exp por comercio,Tus transacciones recientes te han proporcionado una nueva perspectiva sobre el funcionamiento de la economía. También has establecido algunos contactos valiosos.,$xpGain puntos de experiencia obtenidos.,,,nomap,,
rep_tracker,rep_decay_positive,,,player_intel_always,Reputación con $theFaction mejorada,"Las pequeñas ofensas y agravios se olvidan con el tiempo, siempre que no se vean reforzados por un patrón de comportamiento recurrente.",,,,nomap,,
#rep_tracker,rep_decay_negative,,,player_intel_always,Reputación con $theFaction empeorada,"Las pequeñas ofensas o favores se olvidan rápidamente, a menos que se vean reforzados por un patrón de comportamiento recurrente.",,,,,,
rep_tracker,battle_rep_positive,,,secure_comm,Reputación con $theFaction mejorada,Tu enfrentamiento con $otherFleetName fue observado por $theFaction en $market.,Las noticias sobre la batalla fueron recabadas inicialmente por terceros en $market.,,,nomap,,
rep_tracker,comm_access_granted,,,player_intel_always,Acceso concedido a las com. seguras de $Faction,"Gracias a tu buena reputación ($factionStanding), las autoridades $onOrAt $market te han concedido acceso a los canales de comunicación internos de $Faction.",,,,nomap,,
rep_tracker,comm_access_revoked,,,player_intel_always,Acceso concedido a las com. seguras de $Faction,"Debido a tu baja reputación ($factionStanding), se te ha retirado el acceso a los canales de comunicación internos de $Faction.",,,,nomap,,
,,,,,,,,,,,,
# trade info updates (prices etc),,,,,,,,,,,,
trade_info,prices_market,,,player_intel_always,Actualización de precios de $market,"Acceder a la red de com. local proporciona información sobre algunas mercancías con precios inusuales en $market.",$priceList,,,prices,,
trade_info,prices_local,,,player_intel_always,Actualización de precios locales,El acceso al tráfico de com. locales y otras fuentes de datos disponibles ha permitido obtener datos sobre los precios de algunas mercancías en los mercados del sistema.,$priceList,,,prices,,
trade_info,prices_sniffer,,,player_intel_always,Actualización de precios,Una microráfaga procedente del interceptor de com. de $relayName contiene información sobre los precios de algunas mercancías en el sistema estelar $fromSystem.,$priceList,,,prices,,
trade_info,prices_remote,,,player_intel_always,Actualización de precios,El acceso al tráfico de com. locales y otras fuentes de datos disponibles ha permitido obtener datos sobre los precios de algunas mercancías en el sistema estelar $fromSystem.,$priceList,,,prices,,
,,,,,,,,,,,,
# customs inspection,,,,,,,,,,,,
customs_inspection,player_evaded,,,player_intel_always,Inspección aduanera,"Tu intento de eludir la inspección aduanera, aunque exitoso a corto plazo, no pasó desapercibido para las autoridades de $faction.",,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
# system-wide bounty reports,,,,,,,,,,,,
system_bounty,likely,,,player_intel,Recompensa probablemente ofrecida por $market,Se rumorea que las autoridades $onOrAt $market están considerando ofrecer una recompensa sobre todas las flotas hostiles hacia $theMarketFaction.,"
",,,,,
system_bounty,start,,,news,Recompensa ofrecida por $market,"Las autoridades $onOrAt $market, hartas de los constantes ataques al transporte marítimo, las interrumpciones del comercio y la situación general de cuasi-guerra, han ofrecido una recompensa sobre todas y cada una de las flotas hostiles a $theMarketFaction.","Tendrá una duración de $daysLeft días.

La cantidad pagada depende de las naves destruidas (a partir de $baseBounty créditos por una fragata); además, la reputación con $theMarketFaction también puede mejorar.

Las naves deben ser destruidas o inutilizadas dentro del sistema o en las proximidades del hiperespacio.

El pago se realizará a través de un canal de com. seguro mediante un repetidor de comunicaciones cercano.
",,,,,
system_bounty,start_with_faction,,,news,Recompensa ofrecida por $market,"Las autoridades $onOrAt $market, hartas de los constantes ataques al transporte marítimo, las interrumpciones del comercio y la situación general de cuasi-guerra, han ofrecido una recompensa sobre todas y cada una de las flotas hostiles a $theMarketFaction.","Tendrá una duración de $daysLeft días.

Probablemente provocada por la actividad de $enemyFaction en el sistema.

La cantidad pagada depende de las naves destruidas (a partir de $baseBounty créditos por una fragata); además, la reputación con $theMarketFaction también puede mejorar.

Las naves deben ser destruidas o inutilizadas dentro del sistema o en las proximidades del hiperespacio.

El pago se realizará a través de un canal de com. seguro mediante un repetidor de comunicaciones cercano.
",,,,,
system_bounty,bounty_payment,,,secure_comm,Pago de la recompensa de $market: $bountyCredits créditos,El mensaje incluye un anexo cifrado que contiene un pago de $bountyCredits créditos.,"$bountyCredits créditos obtenidos.

$market seguirá ofreciendo la recompensa durante $daysLeft día(s).",,graphics/icons/intel/gain_credits.png,nomap,,
system_bounty,bounty_payment_share,,,secure_comm,Pago de la recompensa de $market: $bountyCredits créditos,"El mensaje incluye un anexo cifrado que contiene tu parte de la recompensa, que asciende a $bountyCredits créditos.","$bountyCredits créditos obtenidos.

$market seguirá ofreciendo la recompensa durante $daysLeft día(s).",,graphics/icons/intel/gain_credits.png,nomap,,
system_bounty,bounty_no_payment,,,player_intel_always,Evaluación sobre la recompensa de $market,El mensaje contiene un informe interno de inteligencia sobre la recompensa ofrecida por $market.,"No hay pago de recompensa porque $theMarketFaction es $factionStanding hacia ti.

$market seguirá ofreciendo la recompensa durante $daysLeft día(s).",,,nomap,,
system_bounty,bounty_no_rep,,,player_intel_always,Evaluación sobre la recompensa de $market,El mensaje contiene un informe interno de inteligencia sobre la recompensa ofrecida por $market.,"No hay pago de recompensa ni mejoría de reputación debido a que $theMarketFaction es $factionStanding hacia ti.

$market seguirá ofreciendo la recompensa durante $daysLeft día(s).",,,nomap,,
system_bounty,end,,,news,Recompensa ofrecida por $market se terminó,Las autoridades $onOrAt $market han declarado que la recompensa ha finalizado oficialmente.,No se realizarán más pagos de recompensas.,,,nomap,,
,,,,,,,,,,,,
comm_sniffer,report,,,player_comm_sniffer,Datos del interceptador de com.,"El anexo contiene un volcado de diversos mensajes, tanto generados por personas como de forma automatizada, que pasan por el sistema $system.",Aumenta las posibilidades de predecir con precisión los acontecimientos futuros en el sistema estelar.,,,,,
,,,,,,,,,,,,
# person bounty reports,,,,,,,,,,,,
person_bounty,start_pirate,,,news,Recompensa de $bountyCredits publicada por $theFaction sobre $targetName,"Las autoridades de $Faction $onOrAt $market han ofrecido una recompensa por la captura de $targetName, un pirata de mala fama.","Recompensa de $bountyCredits créditos, entregada a través de un canal de com. seguro mediante un repetidor cercano.

Disponible durante $daysLeft días.

$targetDesc

Se rumorea que se esconde en $hideoutCrumb.",,,,,
person_bounty,start_deserter,,,news,Recompensa de $bountyCredits publicada por $theFaction sobre $targetName,"Las autoridades de $Faction $onOrAt $market han ofrecido una recompensa por la captura de $targetName, acusado de deserción.","Recompensa de $bountyCredits créditos entregada a través de un canal de com. seguro mediante un repetidor cercano.

Disponible durante $daysLeft días.

$targetDesc

Se rumorea que se esconde en $hideoutCrumb.",,,,,
person_bounty,bounty_payment_end,,,secure_comm,Pago de la recompensa de $theFaction: $bountyCredits créditos,El mensaje incluye un anexo cifrado que contiene un pago de $bountyCredits créditos por llevar a $targetName ante la justicia.,$bountyCredits créditos obtenidos.,,graphics/icons/intel/gain_credits.png,nomap,,
person_bounty,bounty_payment_share_end,,,secure_comm,Pago de la recompensa de $theFaction: $bountyCredits créditos,"El mensaje incluye un anexo cifrado que contiene un pago de $bountyCredits créditos por llevar a $targetName ante la justicia.",$bountyCredits créditos obtenidos.,,graphics/icons/intel/gain_credits.png,nomap,,
person_bounty,bounty_no_payment_end,,,player_intel_always,Evaluación sobre la recompensa de $targetName,El mensaje contiene un informe interno de inteligencia sobre la recompensa ofrecida por $targetName.,No hay pago de recompensa porque $theFaction es $factionStanding hacia ti.,,,nomap,,
person_bounty,bounty_no_rep_end,,,player_intel_always,Evaluación sobre la recompensa de $targetName,El mensaje contiene un informe interno de inteligencia sobre la recompensa ofrecida por $targetName.,No hay pago de recompensa ni mejoría de reputación debido a que $theFaction es $factionStanding hacia ti.,,,nomap,,
person_bounty,other_end,,,news,Recompensa sobre $targetName se terminó,"Según los informes, $targetName fue eliminado en un incidente que no guardaba relación con la oferta de recompensa.",La recompensa ya no está disponible.,,,nomap,,
person_bounty,expire_end,,,news,Recompensa sobre $targetName se terminó,Las autoridades de $Faction $onOrAt $market han retirado la recompensa que se había ofrecido anteriormente por $targetName.,La recompensa ya no está disponible.,,,nomap,,
,,,,,,,,,,,,
# test mission,,,,,,,,,,,,
test_mission,start,,,player_intel_always,Misión de prueba aceptada,"Has aceptado una misión de prueba. Enhorabuena, supongo.",No se prevé ninguna recompensa.,,,,,
test_mission,end_success,,,player_intel_always,Misión de prueba completada con éxito,Misión de prueba completa con éxito.,,,,,,
test_mission,end_failure,,,player_intel_always,Misión de prueba completada sin éxito,Misión de prueba fallida.,,,,,,
,,,,,,,,,,,,
# market procurement mission,,,,,,,,,,,,
market_procurement,posting,,,posting,Adquiere $quantity unidades de $commodity y entrégalas en $market en un plazo de $daysLeft por un pago de $rewardCredits.,Contacta con $contactDesc $contactName en $market para completar la entrega.,"El pago base es de $perUnit por unidad.

$Market está controlado por las autoridades de $marketFaction.

$contactName $contactDetail.",,,no_system_prefix,,
market_procurement,posting_bonus,,,posting,Adquiere $quantity unidades de $commodity y entrégalas en $market en un plazo de $daysLeft por un pago de $rewardCredits. Bonus de $bonusCredits por la entrega en un plazo de $bonusDays.,Contacta con $contactDesc $contactName en $market para completar la entrega.,"El pago base es de $perUnit por unidad.

$Market está controlado por las autoridades de $marketFaction.

$contactName $contactDetail.",,,,,
market_procurement,accept,,,secure_comm,Aceptado: adquirir $quantity unidad(es) de $commodity y entregarlas en $market,"Adquiere $quantity unidad(es) de $commodity y entrégalas a $market.

Contacta con $contactDesc $contactName en $market para completar la entrega.","El pago base es de $perUnit por unidad.

Recompensa de $rewardCredits ($perUnit por unidad).

$Market está controlado por las autoridades de $marketFaction.

$contactName $contactDetail.",,,"no_system_prefix, important",,
market_procurement,accept_bonus,,,secure_comm,Aceptado: adquirir $quantity unidad(es) de $commodity y entregarlas en $market,"Adquiere $quantity unidad(es) de $commodity y entrégalas a $market.

Contacta con $contactDesc $contactName en $market para completar la entrega.","El pago base es de $perUnit por unidad.

Recompensa de $rewardCredits ($perUnit por unidad).

Bonus de $bonusCredits si se entrega en un plazo de $bonusDays.

$Market está controlado por las autoridades de $marketFaction.

$contactName $contactDetail.",,,"no_system_prefix, important",,
market_procurement,success,,,player_intel_always,Completado: $quantity de unidad(es) de $commodity entregadas en $market,Misión completada con éxito.,$actualReward de recompensa.,,,"no_system_prefix, important",,
market_procurement,success_bonus,,,player_intel_always,Completado: $quantity de unidad(es) de $commodity entregadas en $market,Misión completada con éxito.,"$actualReward de recompensa, incluyendo el bonus de $bonusCredits.",,,"no_system_prefix, important",,
market_procurement,failure,,,player_intel_always,Fallido: no se ha podido entregar a tiempo $quantity unidad(es) de $commodity en $market,Misión fallida: no se ha cumplido el plazo.,,,,"no_system_prefix, important",,
,,,,,,,,,,,,
# analyze entity mission,,,,,,,,,,,,
analyze_entity,posting,,,posting,"Ejecuta el paquete de sensores en $entityName, dentro de $systemName, en un plazo de $daysLeft para recibir un pago de $rewardCredits.",La misión se considerará completada y el pago se abonará inmediatamente tras la ejecución del paquete de sensores.,$locationHint,,,no_system_prefix,,
analyze_entity,accept,,,secure_comm,Aceptado: ejecutar el paquete de sensores en $entityName dentro de $systemName,"Recompensa de $rewardCredits; debe completarse en un plazo de $daysLeft.

La misión se considerará completada y el pago se abonará inmediatamente tras la ejecución del paquete de sensores.",$locationHint,,,"no_system_prefix, important",,
analyze_entity,failure,,,player_intel_always,Fallido: ejecutar el paquete de sensores en $entityName dentro de $systemName,Misión fallida: no se ha cumplido el plazo.,,,,"no_system_prefix, important",,
analyze_entity,success,,,player_intel_always,Completado: ejecutar el paquete de sensores en $entityName dentro de $systemName,Misión completada con éxito.,$rewardCredits de recompensa.,,,"no_system_prefix, important",,
,,,,,,,,,,,,
# survey planet mission,,,,,,,,,,,,
survey_planet,posting,,,posting,Realiza un sondeo completo de $planetName en $systemName en un plazo de $daysLeft para recibir un pago de $rewardCredits.,La misión se considerará completada y el pago se abonará inmediatamente tras la finalización del sondeo.,$surveyInfo,,,no_system_prefix,,
survey_planet,accept,,,secure_comm,Aceptado: realizar un sondeo completo de $planetName en $systemName,"Recompensa de $rewardCredits; debe completarse en un plazo de $daysLeft.

La misión se considerará completada y el pago se abonará inmediatamente tras la finalización del sondeo.",$surveyInfo,,,"no_system_prefix, important",,
survey_planet,failure,,,player_intel_always,Fallido: realizar un sondeo completo de $planetName en $systemNameMission échouée — délai non respecté.,,,,"no_system_prefix, important",,
survey_planet,success,,,player_intel_always,Completado: realizar un sondeo completo de $planetName en $systemName,Misión completada con éxito.,$rewardCredits de recompensa.,,,"no_system_prefix, important",,
,,,,,,,,,,,,
# tutorial mission,,,,,,,,,,,,
tutorial_mission,start,,,secure_comm,Comunicación segura desde Ancyra,"Recibes una comunicación restringida procedente del principal planeta habitado del sistema, Ancyra.

El mensaje es breve y te pide que te desplaces hasta allí y te pongas en contacto con $mainContactPost $mainContactName lo antes posible.",,,,"no_system_prefix, important",,
