name,id,tags,tech/manufacturer,rarity,base price,stack size,cargo space,baseRaidDanger,icon,sound id,sound id drop,plugin,plugin params,desc,order
Nanocitos de Suelo,soil_nanites,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Eridani-Utopia Terraforming,,60000,1000,1,EXTREME,graphics/icons/cargo/soil_nanites.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,farming,"Permite el enriquecimiento y la recuperación del suelo a un ritmo muy superior al de los procesos naturales sin intervención humana. La Normativa de Seguridad de Nanocitos del Dominio 4324, en su apartado 81, prohíbe su uso en planetas con yacimientos de minerales transplutónicos o volátiles y, lamentablemente, el mecanismo de seguridad integrado parece estar operativo.",150
Embrión de Biofábrica,biofactory_embryo,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Exodyne Biotech,,120000,1000,1,EXTREME,graphics/icons/cargo/biofactory_embryo.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,lightindustry,"Existe una abrumadora variedad de bienes de consumo que pueden cultivarse en lugar de fabricarse. La biofábrica totalmente extruida solo prospera en el delicado equilibrio entre la luz solar, los nutrientes del suelo y las condiciones atmosféricas que puede ofrecer un mundo habitable. Los intentos de imitar estas condiciones en entornos artificiales siempre fracasan, lo que provoca que la fábrica enferme, presumiblemente debido a un mecanismo de seguridad codificado genéticamente.",155
Bobina de Fullerenos,fullerene_spool,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Fabrique Orbitale,,150000,1000,1,EXTREME,graphics/icons/cargo/fullerene_spool.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"spaceport, megaport",Un cable de nanomalla de carbono ultrarresistente que resulta fundamental para la construcción de un elevador espacial. Mejora considerablemente la eficiencia de la logística entre la superficie de un planeta y la baja órbita.,160
Dínamo de Plasma,plasma_dynamo,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Fabrique Orbitale,,100000,1000,1,EXTREME,graphics/icons/cargo/plasma_dynamo.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,mining,"El componente central con bridas superconductoras de un sistema industrial que genera una red de plasma a escala planetaria, lo que permite una extracción eficiente y espectacular de volátiles de la atmósfera de un gigante gaseoso apto.",165
Motor Crioaritmético,cryoarithmetic_engine,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Domain Restricted,,200000,1000,1,EXTREME,graphics/icons/cargo/cryoarithmetic_engine.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"patrolhq, militarybase, highcommand","Un ordenador cuántico que incumple la segunda ley de la termodinámica, ya que se enfría en lugar de calentarse al realizar cálculos.

Una enorme red planetaria de ramificaciones  —que terminan en disipadores de calor— se autoexpande, utilizando el calor para alimentar su crecimiento y seguir realizando cálculos. Cuanto más caliente está la superficie del planeta, más eficaz es el motor de cómputo. Su capacidad de procesamiento sin igual supone una auténtica ventaja para la planificación logística y estratégica.",170
Replicador de Drones de Combate,drone_replicator,"hist3t, pather4, colony_item, codex_unlockable",Ko Combine,,60000,1000,1,EXTREME,graphics/icons/cargo/combat_drone_replicator.png,ui_cargo_special_military_pickup,ui_cargo_special_military_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"grounddefenses, heavybatteries","Fabrica en serie diversas variantes de drones, todas ellas idóneas para tareas relacionadas con la defensa planetaria frente a asaltos e invasiones, así como para labores de seguridad local.

Su uso fue prohibido por el Dominio muchos ciclos antes del Colapso, por lo que resulta sorprendente encontrar un ejemplar en funcionamiento en el Sector Perseo.",175
Holosuite de Negociación,dealmaker_holosuite,"hist3t, pather4, colony_item, codex_unlockable",Mbaye-Gogol,,120000,1000,1,EXTREME,graphics/icons/cargo/holosuite.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,commerce,"Crea un entorno interactivo diseñado para fomentar las negociaciones con posibles socios comerciales. Además, los sistemas de sensores inteligentes de microemociones autoadaptables integrados en estas salas de realidad virtual permiten comprobar en tiempo real la veracidad de las expresiones, lo que proporciona al operador de las instalaciones una ventaja técnica y ética en las relaciones comerciales.  

El marketing publicitario integrado se esfuerza por destacar que no se trata de una IA, sino simplemente de una red ponderada sofisticada que cumple plenamente con la normativa del Dominio relevante.",180
# other items,,,,,,,,,,,,,,,
# other items,,,,,,,,,,,,,,,
# other items,,,,,,,,,,,,,,,
Paquete de Planos Baja Tecnología,low_tech_package,"package_bp, codex_unlockable",,,20000,1000,1,,graphics/icons/cargo/blueprint_lowtech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,lowtech_bp,"Permite a la industria pesada construir los cascos de nave, las armas y los CPL de cazas más habituales siguiendo la escuela de diseño de «baja tecnología».",200
Paquete de Planos Media Tecnología,midline_package,"package_bp, codex_unlockable",,,25000,1000,1,,graphics/icons/cargo/blueprint_midline.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,midline_bp,"Permite a la industria pesada construir los cascos de nave, las armas y los CPL de cazas más habituales siguiendo la escuela de diseño de «media tecnología».",210
Paquete de Planos Alta Tecnología,high_tech_package,"package_bp, codex_unlockable",,,30000,1000,1,,graphics/icons/cargo/blueprint_hightech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,hightech_bp,"Permite a la industria pesada construir los cascos de nave, las armas y los CPL de cazas más habituales siguiendo la escuela de diseño de «alta tecnología».",220
Paquete de Planos Misiles,missile_package,"package_bp, codex_unlockable",,,20000,1000,1,,graphics/icons/cargo/blueprint_missile.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,missile_bp,Permite a la industria pesada fabricar una gama de los misiles más comunes.,230
Paquete de Planos Piratas,pirate_package,"package_bp, codex_unlockable",,,15000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,pirate_bp,"Una recopilación de trucos, especificaciones de modificaciones posventa e intentos parcialmente exitosos de recuperar planos corruptos. Permite a la industria pesada construir cascos de baja calidad, pero aptos para el combate, que suelen utilizar los piratas y otros indeseables.",240
Paquete de Planos Camino de Ludd,LP_package,"package_bp, codex_unlockable",,,18000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,LP_bp,Una recopilación de trucos y especificaciones de modificaciones posventa que permite a la industria pesada construir los cascos más utilizados por los miembros del Camino de Ludd.,250
Paquete de Planos Iglesia de Ludd,LC_package,"package_bp, codex_unlockable",,,15000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,LC_bp,"Una recopilación de trucos y especificaciones de modificaciones posventa que permite a la industria pesada construir cascos con los distintivos de la Iglesia Ludita. Dado que las modificaciones son de carácter estético, los cascos fabricados se mantienen, por lo demás, en perfecto estado.",260
Paquete de Planos Grupo de Combate XIV,XIV_package,"package_bp, no_drop, hide_in_codex",,,1000000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,XIV_bp,"Un conjunto de planos que permiten a la industria pesada fabricar los cascos casi legendarios que empleó el Grupo de Combate XIV, fundador de la Hegemonía. La existencia actual —y la ubicación— de estos planos es objeto de numerosos rumores.",270
Planos Auxiliares de la Hegemonía,heg_aux_package,"package_bp, codex_unlockable",,,20000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,heg_aux_bp,"Una colección de planos modificados que adaptan varias naves civiles a estándares militares o que simplemente les añaden insignias de la Hegemonía. Creados poco después del Colapso, algunos de estos planos mejoran el rendimiento de la nave sin el aumento de la incidencia de daños al casco asociado a los intentos posteriores de alterar los planos.",280
# other items,,,,,,,,,,,,,,,
# other items,,,,,,,,,,,,,,,
# other items,,,,,,,,,,,,,,,
Plano de Nave,ship_bp,single_bp,,,10000,1000,1,,graphics/icons/cargo/blueprint_shiphull.png,ui_chip_pickup,ui_ship_bp_drop,com.fs.starfarer.api.campaign.impl.items.ShipBlueprintItemPlugin,,Permite a la industria pesada construir cascos de nave según las especificaciones de este plano.,300
Plano de Arma,weapon_bp,single_bp,,,2000,1000,1,,graphics/icons/cargo/blueprint_weapons.png,ui_chip_pickup,ui_weapon_bp_drop,com.fs.starfarer.api.campaign.impl.items.WeaponBlueprintItemPlugin,,Permite a la industria pesada construir armas de nave según las especificaciones de este plano.,310
Plano de Caza,fighter_bp,single_bp,,,3000,1000,1,,graphics/icons/cargo/blueprint_fighter.png,ui_chip_pickup,ui_fighter_bp_drop,com.fs.starfarer.api.campaign.impl.items.FighterBlueprintItemPlugin,,Permite a la industria pesada construir CPL de cazas según las especificaciones de este plano.,320
# other items,,,,,,,,,,,,,,,
Plano de Industria,industry_bp,,,,20000,1000,1,,graphics/icons/cargo/blueprint_industry.png,ui_chip_pickup,ui_industry_bp_drop,com.fs.starfarer.api.campaign.impl.items.IndustryBlueprintItemPlugin,,Contiene las especificaciones técnicas necesarias para construir una industria o estructura en un planeta.,400
# other items,,,,,,,,,,,,,,,
# other items,,,,,,,,,,,,,,,
Dispositivo Janus,janus,"mission_item, codex_unlockable",,,100000,1000,1,,graphics/icons/cargo/janus_device.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.JanusDevicePlugin,,"Se trata de la primera generación del dispositivo Janus, creado por Elissa Zal a partir de las teorías desarrolladas por Scylla Coureuse, entre otros.

Al integrarse con un hiperpropulsor, este dispositivo permite transmitir un pulso de hiperonda sintonizado con las frecuencias resonantes únicas de dos Portales hacia la apertura de uno de ellos. Tras un enorme aporte de energía —cuya generación requiere una gran cantidad de combustible—, se crea un enlace temporal entre dichos Portales. Esto permite que una nave o una flota pueda transitar por la red de Portales.",0
Destruyeplanetas,planetkiller,"mission_item, codex_unlockable",Domain Restricted,,1000000,1000,1,,graphics/icons/cargo/planetkiller.png,ui_cargo_special_military_pickup,ui_cargo_special_military_drop,com.fs.starfarer.api.campaign.impl.items.BaseSpecialItemPlugin,,"Una ojiva especializada capaz de desintegrar un planeta. Sus principios de funcionamiento apenas se conocen, pero se cree que implican el aprovechamiento de la rotación del planeta y algún tipo de resonancia.

Esta unidad está desactivada y requiere códigos de autorización —posiblemente perdidos hace mucho tiempo— para convertirse en algo más que una pieza de maquinaria complicada pero completamente inerte.",10
Datos Topográficos,topographic_data,codex_unlockable,,,50000,1000,1,,graphics/icons/cargo/hyperspace_data.png,ui_chip_pickup,ui_modspec_drop,com.fs.starfarer.api.campaign.impl.items.BaseSpecialItemPlugin,,"Este TriPad securizado contiene una base de datos actualizada que incluye escaneos y análisis detallados de la topografía del hiperespacio en el Sector Perseo, organizados según las directrices tradicionales establecidas por el Explorarium del Dominio. Datos como estos son un elemento esencial para el éxito de las expediciones fuera de los planetas centrales.",500
Enlace de Agujero de Gusano,wormhole_anchor,codex_unlockable,Domain Restricted,,150000,1000,1,,graphics/icons/cargo/wormhole_anchor.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.WormholeAnchorPlugin,,"Aunque desconocida en el actual Sector Perseo, esta tecnología fue utilizada por el Explorarium del Dominio durante una época de grandeza ya lejana. Se puede emplear para crear un terminal de agujero de gusano en una ubicación estable.

La activación inicial requiere antimateria en forma de combustible para naves espaciales. Para su uso, se necesita de al menos otro terminal activo y sincronizado.",1
Escáner de Agujeros de Gusano,wormhole_scanner,"mission_item, codex_unlockable",Domain Restricted,,100000,1000,1,,graphics/icons/cargo/wormhole_scanner.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.WormholeScannerPlugin,,"Un artefacto de la era del Dominio que permite a una flota atravesar un agujero de gusano natural, siguiendo sus múltiples giros, curvas y cambios a través de dimensiones superiores. Una flota que entrara en un agujero de gusano sin un escáner nunca volvería a ser vista, al menos no como un conjunto coherente de materia bariónica.

Dado el estado actual de la tecnología en el Sector Perseo, apenas se pueden intuir vagamente sus principios de funcionamiento.",2
Fabricador de Fragmentos,fragment_fabricator,"threat, codex_unlockable",Menace,,20000,1000,1,,graphics/icons/cargo/fragment_fabricator.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.BaseSpecialItemPlugin,,"Una tecnología desconocida que, sin embargo, comparte principios de diseño con los antiguos estándares de ingeniería del Dominio. Diversos adaptadores autorregulables aceptan entradas de energía y material de forja. No hay interfaz de control. Los intentos de interferir en su funcionamiento provocan mecanismos agresivos de autorreparación y canibalización; cualquier intento importante de desmantelar la unidad conllevaría el riesgo de autodestrucción.

Se trata claramente de un fabricador, ya que cuando se le suministran materias primas este produce unidades de Fragmento, cada una de las cuales está formada por una disposición única de componentes fractales, pero que son funcionalmente similares con ligeras variaciones de escala. Sencillos a nivel individual, los fragmentos muestran un sofisticado comportamiento emergente cuando se agrupan.",400
Unidad de Análisis de Amenazas,threat_processing_unit,"threat, codex_unlockable",Menace,,15000,1000,1,,graphics/icons/cargo/threat_processing_unit.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.BaseSpecialItemPlugin,,"Una unidad computacional básica y modular. Al parecer, se utilizan en gran número para dar soporte a las diversas funciones de las naves de la Amenaza. Aunque no se conoce a fondo su funcionamiento, es evidente que se encuentran muy por debajo del umbral necesario para ser consideradas una inteligencia artificial de cualquier nivel.",401
Sustrato Envuelto,shrouded_substrate,"monster, codex_unlockable",Habitant du Voile,,5000,1000,1,,graphics/icons/cargo/shrouded_substrate.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,com.fs.starfarer.api.campaign.impl.items.ShroudedSubstratePlugin,,"Materia exótica anómala mantenida en un estado de estasis semiestable mediante unidades de contención improvisadas. Se recomienda aplicar los protocolos de manipulación de materiales peligrosos clase 6, 7, 9 y 13. Una investigación preliminar apunta a posibles aplicaciones en la proyección de energía.",450
Nube de Tormenta Envuelta,shrouded_thunderhead,"monster, codex_unlockable",Habitant du Voile,,30000,1000,1,,graphics/icons/cargo/shrouded_thunderhead.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,com.fs.starfarer.api.campaign.impl.items.ShroudedHullmodItemPlugin,shrouded_thunderhead,"«Esta reacción autónoma genera enormes diferencias de energía que se descargan periódicamente hacia su... objetivo. Nunca habría dicho que una tormenta pudiera ser malvada, pero ahora...»

- Grabación de audio interceptada, autor desconocido",451
Manto Envuelto,shrouded_mantle,"monster, codex_unlockable",Habitant du Voile,,50000,1000,1,,graphics/icons/cargo/shrouded_mantle.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,com.fs.starfarer.api.campaign.impl.items.ShroudedHullmodItemPlugin,shrouded_mantle,"«No podemos almacenar energía para siempre en este plasma teórico-ficticio. Tendrá que ir a alguna parte».

«—Invierte la polaridad de los convertidores de flux y haz parpadear el campo de propulsión. Zás, un pequeño tirón en el espacio-tiempo local. Y con eso me refiero a la propia nave».

«Si es que funciona».",452
Lente Envuelta,shrouded_lens,"monster, codex_unlockable",Habitant du Voile,,30000,1000,1,,graphics/icons/cargo/shrouded_lens.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,com.fs.starfarer.api.campaign.impl.items.ShroudedHullmodItemPlugin,shrouded_lens,"«Actívalo durante las maniobras de combate, ajustando la frecuencia de las «sondas» adaptadas a partir de los estabilizadores del campo de propulsión. Esto crearía fracturas en el hiperespacio que causarían un daño terrible a las estructuras del espacio-n. Las naves espaciales, por ejemplo».",453
